name,symbol,country,exchange,sector
Abbott Laboratories ,abt,switzerland,xswx,pharmaceuticals
Abbott Laboratories Pakistan Ltd. ,abot,pakistan,xkar,pharmaceuticals
AbbVie Inc. ,abbv,united states,xnys,biotechnology
AbbVie Inc. ,0qcv,united kingdom,xlon,biotechnology
AbbVie Inc. ,4ab,united states,xetr,biotechnology
ABC Arbitrage S.A. ,abca,france,xpar,investment advisors
ABC Arbitrage S.A. ,0opj,united kingdom,xlon,investment advisors
ABC Banking Corp. Ltd. ,abcb,mauritius,xmau,banking
ABC Gas (International) Ltd. ,513119,india,xbom,non-ferrous metals
ABC India Ltd. ,520123,india,xbom,transportation services
ABC Multiactive Ltd. ,8131,hong kong,xhkg,software
ABC Taiwan Electronics Corp. ,3236,taiwan,roco,industrial electronics
ABC Technologies Holdings Inc. ,abct,canada,xtse,motor vehicle parts
ABC Transport PLC ,abctrans,nigeria,xnsa,"passenger transport, other"
Abcam PLC ,abc,united kingdom,xlon,biotechnology
Abcam PLC ,abczf,united states,ootc,biotechnology
Abcam PLC ADR ,abcm,united states,xnas,biotechnology
AbCellera Biologics Inc. ,abcl,united states,xnas,biotechnology
AbClon Inc. ,174900,south korea,xkrx,biotechnology
ABC-Mart Inc. ,2670,japan,xtks,footwear
Abco Electronics Co. Ltd. ,036010,south korea,xkrx,industrial electronics
ABCO Energy Inc. ,abce,united states,ootc,construction
Abcourt Mines Inc. ,abi,canada,xtsx,general mining
Abcourt Mines Inc. ,abmbf,united states,ootc,general mining
Abdullah Al Othaim Markets Co. ,4001,saudi arabia,xsau,food retail
Abdullah Saad Mohammed Abo Moati for Bookstores Co. ,4191,saudi arabia,xsau,specialty retail
Abdullah Shah Ghazi Sugar Mills Ltd. ,agsml,pakistan,xkar,food products
Abdulmohsen Alhokair Group for Tourism & Development Co. ,1820,saudi arabia,xsau,hotels
Abelco Investment Group AB ,abig,sweden,xngm,finance companies
Aben Resources Ltd. ,abn,canada,xtsx,gold
Aben Resources Ltd. ,e2l2,germany,xfra,gold
Aben Resources Ltd. ,abnaf,united states,ootc,gold
Abeo S.A. ,abeo,france,xpar,sports goods
Abeona Therapeutics Inc. ,0h7r,united kingdom,xlon,biotechnology
Abeona Therapeutics Inc. ,abeo,united states,xnas,biotechnology
Abera Bioscience AB ,abera,sweden,xsat,pharmaceuticals
Abercrombie & Fitch Co. ,0r32,united kingdom,xlon,clothing retail
Abercrombie & Fitch Co. ,anf,united states,xnys,clothing retail
Aberdeen Income Credit Strategies Fund 5.25% Perp. Pfd. Series A ,acp.pra,united states,xnys,closed-end funds
Aberdeen International Inc. ,aab,canada,xtse,banking
Aberdeen International Inc. ,aabvf,united states,ootc,banking
Aberforth Split Level Income Trust PLC ZDP ,asiz,united kingdom,xlon,closed-end funds
ABG Acquisition Corp. I Cl A ,abgi,united states,xnas,shell companies
ABG Sundal Collier Holding ASA ,abg,norway,xosl,investment advisors
ABG Sundal Collier Holding ASA ,0izm,united kingdom,xlon,investment advisors
ABG Sundal Collier Holding ASA ,abgsf,united states,ootc,investment advisors
Abhinav Capital Services Ltd. ,532057,india,xbom,finance companies
Abhinav Leasing & Finance Ltd. ,538952,india,xbom,consumer finance
Abhishek Finlease Ltd. ,538935,india,xbom,finance companies
Abhishek Infraventures Ltd. ,539544,india,xbom,construction
Abico AVY Co. Ltd. ,5392,taiwan,roco,industrial products
Abico Holdings PCL ,abico,thailand,xbkk,farming
ABICO NetCom Co. Ltd. ,8071,taiwan,roco,audio/video equipment
Ability Enterprise Co. Ltd. ,2374,taiwan,xtai,leisure goods
Ability Inc. ,abil,israel,xtae,precision products
Ability Opto-Electronics Technology Co. Ltd. ,3362,taiwan,roco,precision products
Abingdon Health PLC ,abdx,united kingdom,xlon,medical equipment/supplies
Abiomed Inc. ,abmd,united states,xnas,medical equipment/supplies
Abiomed Inc. ,0h7s,united kingdom,xlon,medical equipment/supplies
Abion Inc. ,203400,south korea,xkrx,biotechnology
ABIONYX Pharma S.A. ,abnx,france,xpar,biotechnology
Abirami Financial Services India Ltd. ,511756,india,xbom,investment advisors
Abist Co. Ltd. ,6087,japan,xtks,technical services
Abitare In S.p.A. ,abt,italy,xmil,building materials/products
Abivax S.A. ,0ra9,united kingdom,xlon,pharmaceuticals
Abivax S.A. ,abvx,france,xpar,pharmaceuticals
ABKO Co. Ltd. ,129890,south korea,xkrx,computers/consumer electronics
ABL Bio Inc. ,298380,south korea,xkrx,biotechnology
ABL Diagnostics S.A. ,abld,france,xpar,software
Ablana Invest S.A. ,s0017,spain,xmad,mutual & other funds
Able C&C Inc. ,078520,south korea,xkrx,personal care products/appliances
Able Engineering Holdings Ltd. ,1627,hong kong,xhkg,construction
Able Global Bhd ,7167,malaysia,xkls,food products
AbleGroup Bhd ,7086,malaysia,xkls,building materials/products
Ablerex Electronics Co. Ltd. ,3628,taiwan,roco,industrial electronics
Abliva AB ,abli,sweden,xsto,pharmaceuticals
ABM Fujiya Bhd ,5198,malaysia,xkls,motor vehicle parts
ABM Industries Inc. ,abm,united states,xnys,diversified business services
ABM International Ltd. ,abmintlltd,india,xnse,wholesalers
ABM Investama ,abmm,indonesia,xidx,coal
ABM Knowledgeware Ltd. ,531161,india,xbom,software
ABN AMRO Bank N.V. ADR ,aavmy,united states,ootc,major international banks
ABN Systems International S.A. ,abn,romania,xbse,wholesalers
Abnova (Taiwan) Corp. ,4133,taiwan,xtai,biotechnology
ABO Wind AG ,ab9,united states,xetr,renewable energy generation
AboCom Systems Inc. ,2444,taiwan,xtai,networking
ABO-Group Environment N.V. ,0qxa,united kingdom,xlon,technical services
ABO-Group Environment N.V. ,abo,belgium,xbru,technical services
Aboitiz Equity Ventures Inc. ,aev,philippines,xphs,electric utilities
Aboitiz Equity Ventures Inc. ADR ,abtzy,united states,ootc,electric utilities
Aboitiz Power Corp. ,ap,philippines,xphs,renewable energy generation
