name,symbol,country,exchange,sector
Bank Rakyat Indonesia ,bkrkf,united states,ootc,banking
Bank Rakyat Indonesia ADR Rep B Shares ,bkrky,united states,ootc,banking
Bank Raya Indonesia ,agro,indonesia,xidx,banking
Bank San Francisco California ,bsfo,united states,ootc,banking
Bank Sinarmas ,bsim,indonesia,xidx,banking
Bank Syariah Indonesia ,bris,indonesia,xidx,banking
Bank Tabungan Negara (Persero) ,bbtn,indonesia,xidx,banking
Bank UralSib PJSC ,usbn,russia,misx,banking
Bank Victoria International ,bvic,indonesia,xidx,banking
Bank Woori Saudara Indonesia 1906 ,sdra,indonesia,xidx,banking
Bank7 Corp. ,bsvn,united states,xnas,diversified business services
Banka BioLoo Ltd. ,banka,india,xnse,environment/waste management
Bankal Inversiones 98 S.A. ,s0342,spain,xmad,mutual & other funds
BankFinancial Corp. ,bfin,united states,xnas,banking
BankFirst Capital Corp. ,bfcc,united states,ootc,banking
BankGuam Holding Co. ,bkgm,united states,ootc,banking
Bankinter S.A. ,0h7o,united kingdom,xlon,banking
Bankinter S.A. ,bkimf,united states,ootc,banking
Bankinter S.A. ,bkt,spain,xmad,banking
Bankinter S.A. ADR ,bkniy,united states,ootc,banking
BankIslami Pakistan Ltd. ,bipl,pakistan,xkar,banking
BankNordik P/F ,0of2,united kingdom,xlon,banking
BankNordik P/F ,bnordik,denmark,xcse,banking
Banks Island Gold Ltd. ,bkslf,united states,ootc,gold
BankUnited Inc. ,bku,united states,xnys,banking
Bankwell Financial Group Inc. ,bwfg,united states,xnas,banking
Bannari Amman Spinning Mills Ltd. ,532674,india,xbom,None
Bannari Amman Sugars Ltd. ,500041,india,xbom,None
Banneker Inc. ,bani,united states,ootc,jewelry & watches
Banner Acquisition Corp. ,bnnru,united states,xnas,shell companies
Banner Acquisition Corp. Cl A ,bnnr,united states,xnas,shell companies
Banner Acquisition Corp. Wt ,bnnrw,united states,xnas,None
Banner Corp. ,banr,united states,xnas,banking
Bannerman Energy Ltd. ,bmn,australia,xasx,non-ferrous metals
Bannerman Energy Ltd. ,bh6,germany,xfra,non-ferrous metals
Bannerman Energy Ltd. ,bnnlf,united states,ootc,non-ferrous metals
Bannerman Resources Ltd. ,bmn,namibia,xnam,non-ferrous metals
Banners Co. Ltd. ,3011,japan,xtks,specialty retail
Bannix Acquisition Corp. ,bnix,united states,xnas,shell companies
Bannix Acquisition Corp. Rt ,bnixr,united states,xnas,shell companies
Bannix Acquisition Corp. Wt ,bnixw,united states,xnas,None
Bannu Woollen Mills Ltd. ,bnwm,pakistan,xkar,clothing
Banpu PCL ,banpu,thailand,xbkk,coal
Banpu Power PCL ,bpp,thailand,xbkk,electric utilities
Banque Attijari de Tunisie S.A. ,tjari,tunisia,xtun,banking
Banque Audi S.A.L. ,audi,lebanon,xbey,banking
Banque Audi S.A.L. GDR ,ausr,lebanon,xbey,banking
Banque Cantonale de Geneve ,bcge,switzerland,xswx,banking
Banque Cantonale du Jura S.A. ,bcj,switzerland,xswx,banking
Banque Cantonale Vaudoise ,bcvn,switzerland,xswx,banking
Banque Centrale Populaire S.A. ,bcp,morocco,xcas,banking
Banque de Tunisie et des Emirats S.A. ,bte,tunisia,xtun,banking
Banque de Tunisie S.A. ,bt,tunisia,xtun,banking
Banque Internationale Arabe de Tunisie S.A. ,biat,tunisia,xtun,banking
Banque Internationale pour le Commerce et l'Industrie de Cote d'Ivoire ,bicc,ivory coast,xbrv,banking
Banque Marocaine pour le Commerce et l'Industrie ,bci,morocco,xcas,banking
Banque Nationale Agricole S.A. ,bna,tunisia,xtun,banking
Banque Nationale de Belgique S.A. ,bnb,belgium,xbru,banking
Banque Saudi Fransi ,1050,saudi arabia,xsau,banking
Bansal Roofing Products Ltd. ,538546,india,xbom,building materials/products
Bansei Royal Resorts Hikkaduwa PLC ,brr.n0000,sri lanka,xcol,hotels
Bansisons Tea Industries Ltd. ,519353,india,xbom,farming
Banswara Syntex Ltd. ,503722,india,xbom,clothing
Bantas Bandirma Ambalaj Sanayi ve Ticaret A.S. ,bntas.e,turkey,xist,containers/packaging
Bantek Inc. ,bant,united states,ootc,aerospace products/parts
Banvida S.A. ,banvida,chile,xsgo,finance companies
Banvit Bandirma Vitaminli Yem Sanayii A.S. ,banvt.e,turkey,xist,food products
Banxa Holdings Inc. ,bnxa,canada,xtsx,computer services
Banxa Holdings Inc. ,bnxaf,united states,ootc,computer services
Banyan Acquisition Corp. ,byn.ut,united states,xnys,shell companies
Banyan Acquisition Corp. Cl A ,byn,united states,xnys,shell companies
Banyan Acquisition Corp. Wt ,byn.wt,united states,None,None
Banyan Corp. ,bnyn,united states,ootc,healthcare provision
Banyan Gold Corp. ,byn,canada,xtsx,gold
Banyan Gold Corp. ,byagf,united states,ootc,gold
Banyan Tree Holdings Ltd. ,b58,singapore,xses,hotels
Bao Minh Insurance Corp. ,bmi,vietnam,xstc,non-life insurance
Bao Ngoc Production Investment JSC ,bna,vietnam,hstc,food products
Bao Shen Holdings Ltd. ,8151,hong kong,xhkg,industrial products
Bao Viet Holdings ,bvh,vietnam,xstc,full-line insurance
Bao Viet Securities JSC ,bvs,vietnam,hstc,securities
Baoding Lucky Innovative Materials Co. Ltd. A ,300446,china,xshe,precision products
Baoding Technology Co. Ltd. A ,002552,china,xshe,industrial products
Baoding Tianwei Baodian Electric Co. Ltd. A ,600550,china,xshg,industrial electronics
Baoji Titanium Industry Co. Ltd. A ,600456,china,xshg,non-ferrous metals
Baolingbao Biology Co. Ltd. ,002286,china,xshe,food products
Baolong International Co. Ltd. ,1906,taiwan,xtai,paper/pulp
Baoshan Iron & Steel Co. Ltd. A ,600019,china,xshg,iron/steel
Baosheng Media Group Holdings Ltd. ,baos,united states,xnas,advertising/marketing/public relations
Baosheng Science & Technology Innovation Co. Ltd. A ,600973,china,xshg,industrial electronics
Baota Industry Co. Ltd. A ,000595,china,xshe,industrial machinery
Baotailong New Materials Co. Ltd. A ,601011,china,xshg,coal
Baotek Industrial Materials Ltd. ,5340,taiwan,roco,industrial products
Baotou Dongbao Bio-Tech Co. Ltd. ,300239,china,xshe,chemicals
Baotou Huazi Industry Co. Ltd. A ,600191,china,xshg,food products
Baoxiniao Holding Co. Ltd. A ,002154,china,xshe,clothing
Baoye Group Co. Ltd. ,2355,hong kong,xhkg,construction
Baozun Inc. ,9991,hong kong,xhkg,internet/online
Baozun Inc. ADR ,bzun,united states,xnas,internet/online
Baozun Inc. ADR ,2bza,germany,xfra,internet/online
Bapcor Ltd. ,bap,australia,xasx,specialty retail
Bapusa Inversiones S.A. ,s0340,spain,xmad,mutual & other funds
Bar Harbor Bankshares ,bhb,united states,xase,banking
Bar Pacific Group Holdings Ltd. ,8432,hong kong,xhkg,restaurants
Baraboo Bancorp Inc. ,baob,united states,ootc,banking
Barak Valley Cements Ltd. ,532916,india,xbom,None
Baraka Patenga Power Ltd. ,bppl,bangladesh,xdha,electric utilities
Baraka Power Ltd. ,barkapower,bangladesh,xdha,electric utilities
Barakah Offshore Petroleum Bhd ,7251,malaysia,xkls,oil & gas products/services
Baramulti Suksessarana ,bssr,indonesia,xidx,coal
Baran Group Ltd. ,bran,israel,xtae,construction
Barbara Bui S.A. ,bui,france,xpar,clothing
Barbary Investment Group ,bigp,egypt,nilx,motor vehicle parts
Barbeque-Nation Hospitality Ltd. ,543283,india,xbom,restaurants
Barbiguera Inversiones S.A. ,s3489,spain,xmad,mutual & other funds
Barcelona Black Knights 2002 S.A. ,s2871,spain,xmad,mutual & other funds
Barclays PLC ,bcy,united states,xetr,major international banks
Barclays PLC ,bclyf,united states,ootc,major international banks
Barclays PLC ,barc,united kingdom,xlon,major international banks
Barclays PLC ADR ,bcs,united states,xnys,major international banks
Barco N.V. ,bar,belgium,xbru,computers/consumer electronics
Barco N.V. ,0kdk,united kingdom,xlon,computers/consumer electronics
Barco N.V. ADR ,bcnay,united states,ootc,computers/consumer electronics
Bardella S/A Industrias Mecanicas Ord ,bdll3,brazil,bvmf,industrial machinery
Barramundi Group Ltd. ,barra,norway,xosl,farming
Bareket Capital Ltd. ,brkt,israel,xtae,consumer finance
Barfresh Food Group Inc. ,brfh,united states,xnas,non-alcoholic beverages/drinks
Barratt Developments PLC ,btdpf,united states,ootc,residential building construction
Barratt Developments PLC ,bdev,united kingdom,xlon,residential building construction
Bargues Bros S.A. ,s3288,spain,xmad,mutual & other funds
Barigua S.A. ,s0365,spain,xmad,mutual & other funds
Barratt Developments PLC ADR ,btdpy,united states,ootc,residential building construction
Barrel Co. Ltd. ,267790,south korea,xkrx,clothing
Barings BDC Inc. ,bbdc,united states,xnys,closed-end funds
Baristas Coffee Co. Inc. ,bcci,united states,ootc,restaurants
Barrel Energy Inc. ,brll,united states,ootc,oil extraction
Barrett Business Services Inc. ,bbsi,united states,xnas,employment/training services
Barito Pacific ,brpt,indonesia,xidx,chemicals
BARK Inc. ,bark,united states,xnys,specialty retail
Barrick Gold Corp. ,gold,united states,xnys,gold
Barrick Gold Corp. ,0r22,united kingdom,xlon,gold
BARK Inc. Wt ,bark.wt,united states,xnys,None
Barka Desalination Co. SAOG ,brde,oman,xmus,water utilities
Barrick Gold Corp. ,abr,united states,xetr,gold
Barrick Gold Corp. ,abx,canada,xtse,gold
Barkby Group PLC ,bark,united kingdom,xlon,hotels
Barksdale Resources Corp. ,bro,canada,xtsx,gemstones
Barrick Gold Corp. ,goldn,mexico,xmex,gold
Barry Callebaut AG ,bycbf,united states,ootc,food products
Barksdale Resources Corp. ,brkcf,united states,ootc,gemstones
Barloworld Ltd. ,baw,south africa,xjse,diversified holding companies
Barry Callebaut AG ,0qo7,united kingdom,xlon,food products
Barry Callebaut AG ,barn,switzerland,xswx,food products
Barloworld Ltd. ADR ,brray,united states,ootc,diversified holding companies
Barnes & Noble Education Inc. ,bned,united states,xnys,specialty retail
Barry Callebaut AG ADR ,brrly,united states,ootc,food products
Barsele Minerals Corp. ,brslf,united states,ootc,general mining
Barnes Group Inc. ,b,united states,xnys,industrial products
Barnwell Industries Inc. ,brn,united states,xase,oil extraction
Barsele Minerals Corp. ,bme,canada,xtsx,general mining
Barton Gold Holdings Ltd. ,bgd,australia,xasx,gold
Baroda Extrusion Ltd. ,513502,india,xbom,non-ferrous metals
Baron Energy Inc. ,broe,united states,ootc,oil extraction
