name,symbol,country,exchange,sector
Dana Inc. ,dan,united states,xnys,motor vehicle parts
Dana Investasi Real Estate Ciptadana Properti Perhotelan Padjajaran ,xcis,indonesia,xidx,exchange-traded funds
Danaher Corp. ,0r2b,united kingdom,xlon,medical equipment/supplies
Danaher Corp. ,dap,united states,xetr,medical equipment/supplies
Danaher Corp. ,dhr,united states,xnys,medical equipment/supplies
Danaher Corp. 5% Mand. Pfd. Series B ,dhr.prb,united states,xnys,medical equipment/supplies
Danakali Ltd. ,dnk,australia,xasx,general mining
Danakali Ltd. ,sbmsf,united states,ootc,general mining
Danakali Ltd. ADR ,dnkly,united states,ootc,general mining
Danal Co. Ltd. ,064260,south korea,xkrx,consumer finance
Danameco Medical JSC ,dnm,vietnam,hstc,medical equipment/supplies
Danang Airport Service JSC ,mas,vietnam,hstc,transportation services
Danang Education Development & Investment JSC ,dad,vietnam,hstc,publishing
Danang Housing Investment Development JSC ,ndn,vietnam,hstc,real estate developers
Danang Plastic JSC ,dpc,vietnam,hstc,industrial products
DaNang Rubber JSC ,drc,vietnam,xstc,tires
Danaos Corp. ,dac,united states,xnys,water transport/shipping
Danavation Technologies Corp. ,dvn,canada,xcnq,emerging technologies
Danavation Technologies Corp. ,dvncf,united states,ootc,emerging technologies
Danawa Co. Ltd. ,119860,south korea,xkrx,mixed retailing
DanCann Pharma A/S ,dancan,sweden,xsat,pharmaceuticals
Dancomech Holdings Bhd ,5276,malaysia,xkls,precision products
Dandot Cement Co. Ltd. ,dncc,pakistan,xkar,building materials/products
Danel (Adir Yeoshua) Ltd. ,dane,israel,xtae,healthcare provision
Danel Capital Inversiones SICAV S.A. ,s0216,spain,xmad,mutual & other funds
Danen Technology Corp. ,3686,taiwan,xtai,industrial electronics
Dangote Cement PLC ,dangcem,nigeria,xnsa,building materials/products
Dangote Sugar Refinery PLC ,dangsugar,nigeria,xnsa,food products
Danh Khoi Group JSC ,nrc,vietnam,hstc,real estate developers
Danhua Chemical Technology Co. Ltd. A ,600844,china,xshg,chemicals
Danhua Chemical Technology Co. Ltd. B ,900921,china,xshg,chemicals
Daniel Thwaites PLC ,thw,united kingdom,xplu,alcoholic beverages/drinks
Danieli & C. Officine Meccaniche S.p.A. ,0apm,united kingdom,xlon,building materials/products
Danieli & C. Officine Meccaniche S.p.A. ,dan,italy,xmil,building materials/products
Danieli & C. Officine Meccaniche S.p.A. ADR ,dniyy,united states,ootc,building materials/products
Danieli & C. Officine Meccaniche S.p.A. RNC ,danr,italy,xmil,building materials/products
Danieli & C. Officine Meccaniche S.p.A. RNC ,0n4i,united kingdom,xlon,building materials/products
Daniels Corporate Advisory Co. Inc. ,dcac,united states,ootc,diversified business services
Danimer Scientific Inc. ,dnmr,united states,xnys,chemicals
Danish Aerospace Co. A/S ,dac,denmark,xcse,medical equipment/supplies
Dankotuwa Porcelain PLC ,dpl.n0000,sri lanka,xcol,housewares
DANKS-Europejskie Centrum Doradztwa Podatkowego S.A. ,dns,poland,xwar,accounting
Danlaw Technologies India Ltd. ,532329,india,xbom,computer services
Danone S.A. ,bn,france,xpar,food products
Danone S.A. ,dnn,italy,xmil,food products
Danone S.A. ,bn,austria,xwbo,food products
Danone S.A. ,bnn,mexico,xmex,food products
Danone S.A. ,gpdnf,united states,ootc,food products
Danone S.A. ,0kfx,united kingdom,xlon,food products
Danone S.A. ,bsn,united states,xetr,food products
Danone S.A. ADR ,danoy,united states,ootc,food products
Danske Andelskassers Bank A/S ,dab,denmark,xcse,banking
Danske Bank A/S ,dnskf,united states,ootc,banking
Danske Bank A/S ,0nvc,united kingdom,xlon,banking
Danske Bank A/S ,danske,denmark,xcse,banking
Danske Bank A/S ADR ,dnkey,united states,ootc,banking
Dantax A/S ,dant,denmark,xcse,audio/video equipment
Danto Holdings Corp. ,5337,japan,xtks,building materials/products
Danube Industries Ltd. ,540361,india,xbom,paper/pulp
Danya Cebus Ltd. ,dnya,israel,xtae,construction
Daodaoquan Grain & Oil Co. Ltd. A ,002852,china,xshe,food products
Daohe Global Group Ltd. ,915,hong kong,xhkg,transportation services
Daol Investment & Securities Co. Ltd. ,030210,south korea,xkrx,securities
Daol Investment Co. Ltd. ,298870,south korea,xkrx,investment advisors
Daoming Optics & Chemical Co. Ltd. ,002632,china,xshe,chemicals
Daou Data Corp. ,032190,south korea,xkrx,computer services
Daou Technology Inc. ,023590,south korea,xkrx,computer services
DAP Co. Ltd. ,066900,south korea,xkrx,semiconductors
DAP Gayrimenkul Gelistirme A.S. ,dapgm.e,turkey,xist,real estate developers
Daphne International Holdings Ltd. ,210,hong kong,xhkg,footwear
Daqian Ecology & Environment Group Co. Ltd. A ,603955,china,xshg,general services
Daqin Railway Co. Ltd. ,601006,china,xshg,railroads
Daqing Huake Co. Ltd. ,000985,china,xshe,chemicals
Daqo New Energy Corp. ADR ,5dq2,germany,xfra,chemicals
Daqo New Energy Corp. ADR ,dq,united states,xnys,chemicals
Dar Al Aman for Islamic Finance ,daif,jordan,xamm,finance companies
Dar Al Arkan Real Estate Development Co. ,4300,saudi arabia,xsau,real estate developers
Dar Al Takaful PJSC ,dartakaful,united arab emirates,xdfm,non-life insurance
Dar Al Thuraya Real Estate Co. KPSC ,thuraya,kuwait,xkuw,real estate developers
Dar Al-Dawa Development & Investment Co. ,dadi,jordan,xamm,pharmaceuticals
Dar Al-Shifa Pharmaceuticals ,pharmacare,palestine,xpae,pharmaceuticals
Dar es Salaam Stock Exchange PLC ,dse,tanzania,xdar,securities
Darat Jordan Holdings Co. PLC ,dara,jordan,xamm,diversified holding companies
Darco Water Technologies Ltd. ,blr,singapore,xses,industrial machinery
Dardanel Onentas Gida Sanayi A.S. ,dardl.e,turkey,xist,food products
Darden Restaurants Inc. ,dri,united states,xnys,restaurants
Darden Restaurants Inc. ,0i77,united kingdom,xlon,restaurants
Dare Bioscience Inc. ,dare,united states,xnas,biotechnology
Dare Power Dekor Home Co. Ltd. A ,000910,china,xshe,building materials/products
Darelle Online Solutions Inc. ,dar,canada,xtsx,internet/online
Dareway Software Co. Ltd. A ,688579,china,xshg,software
Darfon Electronics Corp. ,8163,taiwan,xtai,industrial electronics
Dari Couspate S.A. ,dri,morocco,xcas,food products
DarioHealth Corp. ,drio,united states,xnas,medical equipment/supplies
Darjeeling Ropeway Co. Ltd. ,539770,india,xbom,construction
Dark Horse Technology Group Co. Ltd. A ,300688,china,xshe,computer services
DarkPulse Inc. ,dpls,united states,ootc,advertising/marketing/public relations
Darktrace PLC ,dark,united kingdom,xlon,emerging technologies
Darktrace PLC ,drktf,united states,ootc,emerging technologies
Darktrace PLC ADR ,drkty,united states,ootc,emerging technologies
Darling Ingredients Inc. ,dar,united states,xnys,food products
Darling Ingredients Inc. ,43d,germany,xfra,food products
Darma Henwa ,dewa,indonesia,xidx,mining support services
Darmi Bersaudara ,kayu,indonesia,xidx,forestry & wood products
Darshan Orna Ltd. ,539884,india,xbom,jewelry & watches
Dart Mining N.L. ,dtm,australia,xasx,gold
Darwin Precisions Corp. ,6120,taiwan,xtai,precision products
Darya-Varia Laboratoria ,dvla,indonesia,xidx,pharmaceuticals
DAS Technology Co. Ltd. ,6648,taiwan,roco,software
Dasan Networks Inc. ,039560,south korea,xkrx,networking
Dasc Investment S.A. ,s0758,spain,xmad,mutual & other funds
Daseke Inc. ,dske,united states,xnas,trucking
Dashan Education Holdings Ltd. ,9986,hong kong,xhkg,consumer services
Dashang Co. Ltd. ,600694,china,xshg,mixed retailing
Dasheng Times Cultural Investment Co. Ltd. A ,600892,china,xshg,motion picture/sound recording
DaShenLin Pharmaceutical Group Co. Ltd. ,603233,china,xshg,drug retail
Dasin Retail Trust ,cedu,singapore,xses,retail reits
Dassault Aviation S.A. ,duavf,united states,ootc,aerospace products/parts
Dassault Aviation S.A. ,0iax,united kingdom,xlon,aerospace products/parts
Dassault Aviation S.A. ,am,france,xpar,aerospace products/parts
Dassault Systemes SE ,0hb4,united kingdom,xlon,software
Dassault Systemes SE ,dsy,france,xpar,software
Dassault Systemes SE ,dsya,germany,xfra,software
Dassault Systemes SE ,dastf,united states,ootc,software
Dassault Systemes SE ,dsyn,mexico,xmex,software
Dassault Systemes SE ADR ,dsy,germany,xfra,software
