name,symbol,country,exchange,sector
F&F Co. Ltd. ,383220,south korea,xkrx,clothing
F&F Holdings Co. Ltd. ,007700,south korea,xkrx,clothing
F&J Prince Holdings Corp. A ,fjp,philippines,xphs,diversified holding companies
F&M Bank Corp. ,fmbm,united states,ootc,banking
F.C.C. Co. Ltd. ,7296,japan,xtks,motor vehicle parts
F.F.I. Holdings Ltd. ,ffi,australia,xasx,food products
F.I.B.I. Holdings Ltd. ,fibih,israel,xtae,banking
F.I.L.A.-Fabbrica Italiana Lapis ed Affini S.p.A. ,fila,italy,xmil,nondurable household products
F.I.L.A.-Fabbrica Italiana Lapis ed Affini S.p.A. ,0qiq,united kingdom,xlon,nondurable household products
F.I.T Group JSC ,fit,vietnam,xstc,finance companies
F.N.B. Corp. ,fnb,united states,xnys,banking
F.N.B. Corp. Dep. Pfd. (Rep. 1/40th Interest Fixed-to-Floating Rate Non-Cum. Perp. Pfd. Series E) ,fnb.pre,united states,xnys,banking
F.S. Bancorp ,fxlg,united states,ootc,banking
F.W. Thorpe PLC ,tfw,united kingdom,xlon,industrial electronics
F45 Training Holdings Inc. ,fxlv,united states,xnys,recreational services
F5 Inc. ,0il6,united kingdom,xlon,software
F5 Inc. ,ffiv,united states,xnas,software
F8 Enterprises (Holdings) Group Ltd. ,8347,hong kong,xhkg,pipeline transportation
Fabasoft AG ,0iwu,united kingdom,xlon,software
Fabasoft AG ,faa,united states,xetr,software
Fabchem China Ltd. ,bft,singapore,xses,chemicals
Fabege AB ,0xpx,united kingdom,xlon,real estate developers
Fabege AB ,fabg,sweden,xsto,real estate developers
Fab-Form Industries Ltd. ,fbf,canada,xtsx,building materials/products
Fabilia Group S.p.A. ,fhr,italy,xmil,hotels
Fabino Life Sciences Ltd. ,543444,india,xbom,pharmaceuticals
Fabled Copper Corp. ,fabl,canada,xcnq,non-ferrous metals
Fabled Copper Corp. ,fbcpf,united states,ootc,non-ferrous metals
Fabled Silver Gold Corp. ,fco,canada,xtsx,precious metals
Fabled Silver Gold Corp. ,fbsgf,united states,ootc,precious metals
Fabrica Nacional de Cementos C.A. S.A.C.A. ,1fnc,venezuela,bvca,building materials/products
Fabricato S.A. ,fabricato,colombia,xbog,clothing
Fabrinet ,fn,united states,xnys,industrial electronics
Fabryka Farb i Lakierow Sniezka S.A. ,ska,poland,xwar,building materials/products
Fabryka Obrabiarek RAFAMET S.A. ,raf,poland,xwar,industrial machinery
Fabryki Mebli Forte S.A. ,fte,poland,xwar,furniture
Fabryki Sprzetu i Narzedzi Gorniczych Grupa Kapitalowa FASING S.A. ,fsg,poland,xwar,industrial products
FACB Industries Inc. Bhd ,2984,malaysia,xkls,housewares
FACC AG ,1fc,united states,xetr,aerospace products/parts
FACC AG ,facc,austria,xwbo,aerospace products/parts
FACC AG ,0qw9,united kingdom,xlon,aerospace products/parts
FACC AG ,1fc,germany,xfra,None
Facedrive Inc. ,fd,canada,xtsx,emerging technologies
Facedrive Inc. ,fdvrf,united states,ootc,emerging technologies
Facephi Biometria S.A. ,face,spain,xmad,precision products
Facephi Biometria S.A. ,alphi,france,xpar,precision products
Faceta Invest S.A. ,s0966,spain,xmad,mutual & other funds
Facilities By ADF PLC ,adf,united kingdom,xlon,general services
Facor Alloys Ltd. ,532656,india,xbom,iron/steel
Factor Inversiones S.A. ,s0967,spain,xmad,mutual & other funds
FactSet Research Systems Inc. ,fds,united states,xnys,publishing
FactSet Research Systems Inc. ,fa1,germany,xfra,publishing
Fade Gida Yatirim Sanayi Ticaret A.S. ,fade.e,turkey,xist,food products
Faes Farma S.A. ,fae,spain,xmad,pharmaceuticals
Faes Farma S.A. ,0k9h,united kingdom,xlon,pharmaceuticals
Fagerhult AB ,0rqh,united kingdom,xlon,industrial electronics
Fagerhult AB ,fag,sweden,xsto,industrial electronics
Fagron N.V. ,fagr,belgium,xbru,pharmaceuticals
Fagron N.V. ,0hnz,united kingdom,xlon,pharmaceuticals
Fair Isaac Corp. ,fico,united states,xnys,software
Fair Value REIT-AG ,fvi,germany,xfra,None
Fairchem Organics Ltd. ,543252,india,xbom,chemicals
Fairchild Gold Corp. ,fair,canada,xtsx,general mining
Fairfax Financial Holdings Ltd. ,frfhf,united states,ootc,non-life insurance
Fairfax Financial Holdings Ltd. ,ffh,canada,xtse,non-life insurance
Fairfax Financial Holdings Ltd. Cum. Floating Rate Pfd. Series D ,ffh.prd,canada,xtse,non-life insurance
Fairfax Financial Holdings Ltd. Cum. Pfd. Series C ,fxflf,united states,ootc,non-life insurance
Fairfax Financial Holdings Ltd. Cum. Pfd. Series J ,ffh.prj,canada,xtse,non-life insurance
Fairfax Financial Holdings Ltd. Cum. Pfd. Series K ,frfff,united states,ootc,non-life insurance
Fairfax Financial Holdings Ltd. Cum. Pfd. Series K ,ffh.prk,canada,xtse,non-life insurance
Fairfax Financial Holdings Ltd. Cum. Pfd. Series M ,ffh.prm,canada,xtse,non-life insurance
Fairfax Financial Holdings Ltd. Cum. Redeem. Pfd. Series F Floating Rate ,ffh.prf,canada,xtse,non-life insurance
Fairfax Financial Holdings Ltd. Cum. Redeem. Pfd. Series H Floating Rate ,ffh.prh,canada,xtse,non-life insurance
Fairfax Financial Holdings Ltd. Pfd. Series 1 ,ffh.pri,canada,xtse,non-life insurance
Fairfax Financial Holdings Ltd. Pfd. Series C ,ffh.prc,canada,xtse,non-life insurance
Fairfax Financial Holdings Ltd. Pfd. Series E ,ffh.pre,canada,xtse,non-life insurance
Fairfax Financial Holdings Ltd. Pfd. Series G ,ffh.prg,canada,xtse,non-life insurance
Fairfax India Holdings Corp. ,ffxdf,united states,ootc,investment advisors
FairPlay Properties REIT ,fpp,bulgaria,xbul,diversified reits
Fairvest Ltd. A ,fta,south africa,xjse,retail reits
Fairvest Ltd. B ,ftb,south africa,xjse,retail reits
Fairwood Holdings Ltd. ,52,hong kong,xhkg,restaurants
Faisal Islamic Bank of Egypt ,fait,egypt,nilx,banking
Faisal Islamic Bank of Egypt USD ,faita,egypt,nilx,banking
Faisal Spinning Mills Ltd. ,fasm,pakistan,xkar,clothing
Faith Inc. ,4295,japan,xtks,motion picture/sound recording
FaithNetwork Co. Ltd. ,3489,japan,xtks,real estate developers
Fajar Surya Wisesa ,fasw,indonesia,xidx,containers/packaging
Fajarbaru Builder Group Bhd ,7047,malaysia,xkls,construction
Falabella S.A. ,falabella,chile,xsgo,mixed retailing
Falanx Group Ltd. ,flx,united kingdom,xlon,finance companies
Falck Renewables S.p.A. ,fkr,italy,xmil,renewable energy generation
Falco Resources Ltd. ,fprgf,united states,ootc,general mining
Falco Resources Ltd. ,fpc,canada,xtsx,general mining
Falcon Games S.A. ,flg,poland,xwar,investment advisors
Falcon Gold Corp. ,fg,canada,xtsx,general mining
Falcon Gold Corp. ,fgldf,united states,ootc,general mining
Falcon Machine Tools Co. Ltd. ,4513,taiwan,roco,industrial machinery
Falcon Metals Ltd. ,fal,australia,xasx,gold
Falcon Metals Ltd. ,falff,united states,ootc,gold
Falcon Minerals Corp. ,flmn,united states,xnas,oil extraction
Falcon Minerals Corp. Wt ,flmnw,united states,xnas,None
Falcon Oil & Gas Ltd. ,fo,canada,xtsx,oil extraction
Falcon Oil & Gas Ltd. ,folgf,united states,ootc,oil extraction
Falcon Oil & Gas Ltd. ,fog,united kingdom,xlon,oil extraction
Falcon Power Co. Ltd. ,1516,taiwan,xtai,sports goods
FalconStor Software Inc. ,falc,united states,ootc,software
Falmaco Nonwoven Industri ,flmc,indonesia,xidx,nondurable household products
Faltec Co. Ltd. ,7215,japan,xtks,motor vehicle parts
Fambar de Inversiones S.A. ,s0965,spain,xmad,mutual & other funds
Fameglow Holdings Ltd. ,8603,hong kong,xhkg,consumer services
Family Room Entertainment Corp. ,fmyr,united states,ootc,motion picture/sound recording
Family Zone Cyber Safety Ltd. ,fzo,australia,xasx,internet/online
Familytex (BD) Ltd. ,familytex,bangladesh,xdha,clothing
Famoga Inversiones S.A. ,s3193,spain,xmad,mutual & other funds
Famous Brands Ltd. ,fbr,south africa,xjse,restaurants
Famur S.A. ,fmf,poland,xwar,oil & gas products/services
FAN Communications Inc. ,2461,japan,xtks,advertising/marketing/public relations
Fan Milk Ltd. ,fml,ghana,xgha,food products
Fancamp Exploration Ltd. ,fnc,canada,xtsx,general mining
Fancamp Exploration Ltd. ,fncjf,united states,ootc,general mining
Fancl Corp. ,4921,japan,xtks,personal care products/appliances
Fancy Wood Industries PCL ,fancy,thailand,xbkk,furniture
Fandifi Technology Corp. ,fdmsf,united states,ootc,software
Fandifi Technology Corp. ,fdm,canada,xcnq,software
Fang Holdings Ltd. ADR ,sfun,united states,None,real estate developers
Fang Holdings Ltd. ADR ,0usb,germany,xfra,real estate developers
Fangda Carbon New Material Co. Ltd. A ,600516,china,xshg,general mining
Fangda Special Steel Technology Co. Ltd. ,600507,china,xshg,motor vehicle parts
Fangdd Network Group Ltd. ADR ,duo,united states,xnas,real estate developers
Fanhua Inc. ADR ,fanh,united states,xnas,insurance brokering
Fanli Digital Technology Co. Ltd. A ,600228,china,xshg,internet/online
Fannie Mae ,0il0,united kingdom,xlon,mortgages
Fannie Mae ,fnma,united states,ootc,mortgages
Fannie Mae 4.75% Non-Cum. Pfd. Series M ,fnmal,united states,ootc,mortgages
Fannie Mae 5.125% Non-Cum. Pfd. Series L ,fnman,united states,ootc,mortgages
Fannie Mae 5.375% Non-Cum Pfd. Series I ,fnmag,united states,ootc,mortgages
Fannie Mae 5.50% Non-Cum. Pfd. Series N ,fnmak,united states,ootc,mortgages
Fannie Mae 5.81% Non-Cum. Pfd. Series H ,fnmam,united states,ootc,mortgages
Fannie Mae 6.75% Non-Cum. Pfd. Series Q ,fnmai,united states,ootc,mortgages
Fannie Mae 7.625% Non-Cum. Pfd. Series R ,fnmaj,united states,ootc,mortgages
Fannie Mae 8.25% Non-Cum. Pfd. Series T ,fnmat,united states,ootc,mortgages
Fannie Mae Fixed-to-Fltg Rate Non Cum. Pfd. Series S ,fnmas,united states,ootc,mortgages
Fannie Mae Non Cum. Pfd. Series G ,fnmao,united states,ootc,mortgages
Fannie Mae Var Rate Non Cum. Pfd. Series F ,fnmap,united states,ootc,mortgages
Fannie Mae Variable Rate Non-Cum. Pfd. Series P ,fnmah,united states,ootc,mortgages
Fansfrenzy Corp. ,ffzy,united states,ootc,internet/online
FansUnite Entertainment Inc. ,fans,canada,xcnq,gambling industries
FansUnite Entertainment Inc. ,funff,united states,ootc,gambling industries
Fantagio Corp. ,032800,south korea,xkrx,motion picture/sound recording
Fuji Japan Co. Ltd. ,1449,japan,xsap,construction
Fuji Kosan Co. Ltd. ,5009,japan,xtks,gas utilities
Fuji Kyuko Co. Ltd. ,9010,japan,xtks,tourism
Fuji Media Holdings Inc. ,4676,japan,xtks,broadcasting
Fuji Media Holdings Inc. ADR ,fjtny,united states,ootc,broadcasting
Fuji Nihon Seito Corp. ,2114,japan,xtks,food products
Fuji Oil Co. Ltd. ,5017,japan,xtks,oil & gas products/services
Fuji Oil Holdings Inc. ,2607,japan,xtks,food products
Fuji Oozx Inc. ,7299,japan,xtks,motor vehicle parts
Fuji P.S. Corp. ,1848,japan,xtks,construction
Fuji Pharma Co. Ltd. ,4554,japan,xtks,pharmaceuticals
Fuji Seal International Inc. ,7864,japan,xtks,containers/packaging
Fuji Seal International Inc. ,fujsf,united states,ootc,containers/packaging
Fuji Seiko Ltd. ,6142,japan,xngo,industrial machinery
Fuji Soft Inc. ,9749,japan,xtks,software
Fuji Soft Service Bureau Inc. ,6188,japan,xtks,diversified business services
Fujian Acetron New Materials Co. Ltd. A ,300706,china,xshe,chemicals
Fujian Aonong Biological Technology Group Inc. Ltd. A ,603363,china,xshg,food products
Fujian Apex Software Co. Ltd. A ,603383,china,xshg,software
Fujian Boss Software Development Co. Ltd. A ,300525,china,xshe,software
Fujian Cement Inc. ,600802,china,xshg,building materials/products
Fujian Cosunter Pharmaceutical Co. Ltd. A ,300436,china,xshe,pharmaceuticals
Fujian Dongbai (Group) Co. Ltd. A ,600693,china,xshg,mixed retailing
Fujian Expressway Development Co. Ltd. A ,600033,china,xshg,transportation services
Fujian Forecam Optics Co. Ltd. A ,688010,china,xshg,precision products
Fujian Foxit Software Development JSC Ltd. A ,688095,china,xshg,software
Fujian Funeng Co. Ltd. A ,600483,china,xshg,clothing
Fujian Furi Electronics Co. Ltd. A ,600203,china,xshg,industrial electronics
Fujian Fynex Textile Science & Technology Co. Ltd. ,600493,china,xshg,clothing
Fujian Green Pine Co. Ltd. ,300132,china,xshe,chemicals
Fujian Haixia Environmental Protection Group Co. Ltd. ,603817,china,xshg,environment/waste management
Fujian Holdings Ltd. ,181,hong kong,xhkg,real estate developers
Fujian Ideal Jewellery Industrial Co. Ltd. A ,002740,china,xshe,jewelry & watches
Fujian Jinsen Forestry Co. Ltd. ,002679,china,xshe,forestry & wood products
