name,symbol,country,exchange,sector
Giga Metals Corp. ,0uxl,united kingdom,xlon,non-ferrous metals
Giga Metals Corp. ,giga,canada,xtsx,non-ferrous metals
Giga Metals Corp. Wt ,giga.wt,canada,xtsx,None
Guararapes Confeccoes S/A Ord ,guar3,brazil,bvmf,clothing retail
Giga Prize Co. Ltd. ,3830,japan,xngo,internet/online
Giga-Byte Technology Co. Ltd. ,2376,taiwan,xtai,semiconductors
Guard Therapeutics International AB ,guard,sweden,xsto,pharmaceuticals
Guardant Health Inc. ,gh,united states,xnas,medical equipment/supplies
GigaMedia Ltd. ,gigm,united states,xnas,toys & games
Gigante Salmon A/S ,giga,norway,xosl,fishing
GuardBox SE ,gud1,germany,xber,emerging technologies
Guardforce AI Co. Ltd. ,gfai,united states,xnas,consumer finance
Gigas Hosting S.A. ,giga,spain,xmad,internet/online
Gigaset AG ,ggs,united states,xetr,networking
Guardforce AI Co. Ltd. Wt ,gfaiw,united states,xnas,None
Guardian Capital Group Ltd. ,gcg,canada,xtse,investment advisors
Gigasolar Materials Corp. ,3691,taiwan,roco,industrial electronics
Gigastone Corp. ,5262,taiwan,roco,semiconductors
Guardian Capital Group Ltd. Cl A NV ,gcg.a,canada,xtse,investment advisors
Guardian Capital Group Ltd. Cl A NV ,gcaaf,united states,ootc,investment advisors
Gigastorage Corp. ,2406,taiwan,xtai,precision products
Giga-Tronics Inc. ,giga,united states,ootc,precision products
Guardian Exploration Inc. ,gx,canada,xtsx,oil extraction
Guardian Holdings Ltd. ,ghl,trinidad and tobago,xtrn,full-line insurance
GigCapital 5 Inc. ,gia.ut,united states,xnys,shell companies
Guardian Media Ltd. ,gml,trinidad and tobago,xtrn,broadcasting
Guardion Health Sciences Inc. ,ghsi,united states,xnas,food products
GigCapital 5 Inc. ,gia,united states,xnys,shell companies
GigCapital 5 Inc. Wt ,gia.wt,united states,xnys,None
Gubre Fabrikalari T.A.S. ,gubrf.e,turkey,xist,chemicals
Gudang Garam ,ggrm,indonesia,xidx,tobacco
GigCapital4 Inc. Wt ,giggw,united states,xnas,None
GigInternational1 Inc. ,giwwu,united states,xnas,shell companies
Gudang Garam ADR ,gdngy,united states,ootc,tobacco
Gudeng Precision Industrial Co. Ltd. ,3680,taiwan,roco,semiconductors
GigInternational1 Inc. Cl A ,giw,united states,xnas,shell companies
GigInternational1 Inc. Wt ,giwww,united states,xnas,None
