name,symbol,country,exchange,sector
ISL Consulting Ltd. ,511609,india,xbom,finance companies
Islami Bank Bangladesh Ltd. ,islamibank,bangladesh,xdha,banking
Islami Insurance Bangladesh Ltd. ,islamiins,bangladesh,xdha,non-life insurance
Islamic Arab Insurance Co. P.S.C. ,salama,united arab emirates,xdfm,non-life insurance
Islamic Finance & Investment Ltd. ,islamicfin,bangladesh,xdha,banking
Islamic Insurance Co. ,tiic,jordan,xamm,non-life insurance
Island Concepts Indonesia ,icon,indonesia,xidx,hotels
Island Pharmaceuticals Ltd. ,ila,australia,xasx,pharmaceuticals
Islandsbanki Hf. ,isb,iceland,xice,banking
Isleworth Healthcare Acquisition Corp. ,isle,united states,xnas,shell companies
Isleworth Healthcare Acquisition Corp. Wt ,islew,united states,xnas,None
Ismail Industries Ltd. ,isil,pakistan,xkar,food products
Ismailia Development & Real Estate Co. ,idre,egypt,nilx,real estate developers
Ismailia Misr Poultry Co. ,isma,egypt,nilx,farming
Ismailia National Food Industries ,infi,egypt,nilx,food products
ISMT Ltd. ,532479,india,xbom,None
Isodiol International Inc. ,isolf,united states,ootc,pharmaceuticals
IsoEnergy Ltd. ,iso,canada,xtsx,non-ferrous metals
IsoEnergy Ltd. ,isenf,united states,ootc,non-ferrous metals
Isofol Medical AB ,isofol,sweden,xsto,pharmaceuticals
iSoftStone Information Technology (Group) Co. Ltd. A ,301236,china,xshe,computer services
IsoPlexis Corp. ,iso,united states,xnas,medical equipment/supplies
IsoRay Inc. ,isr,united states,xase,pharmaceuticals
ISOTeam Ltd. ,5wf,singapore,xses,construction
ISP Finance Services Ltd. ,isp,jamaica,xjam,finance companies
ISP Global Ltd. ,8487,hong kong,xhkg,networking
ISP Holdings Ltd. ,2340,hong kong,xhkg,construction
ISPAC 1 Ltd. ,ispc,israel,xtae,shell companies
ISPD Network S.A. ,alisp,france,xpar,advertising/marketing/public relations
iSpecimen Inc. ,ispc,united states,xnas,healthcare provision
ISR Immune System Regulation Holding AB ,isr,sweden,xsto,biotechnology
Isracann Biosciences Inc. ,iscnf,united states,ootc,farming
Isracann Biosciences Inc. ,ipot,canada,xcnq,farming
Israel Canada (T.R) Ltd. ,iscn,israel,xtae,real estate developers
Israel Corp. Ltd. ,ilco,israel,xtae,chemicals
Israel Discount Bank Ltd. ,dsct,israel,xtae,banking
Israel Discount Bank Ltd. ADR ,isday,united states,ootc,banking
Israel Land Development Co. Ltd. ,ildc,israel,xtae,real estate developers
Israel Land Development Urban Renewal Ltd. ,ildr,israel,xtae,real estate developers
Israel Opportunity Energy Resources L.P. ,isop,israel,xtae,oil extraction
Israel Petrochemical Enterprises Ltd. ,ptch.m,israel,xtae,chemicals
Israel Shipyards Ltd. ,ishi,israel,xtae,water transport/shipping
Isramco Negev 2 L.P. ,isra,israel,xtae,oil extraction
Isras Investment Co. Ltd. ,isrs,israel,xtae,real estate developers
Isrotel Ltd. ,isro,israel,xtae,hotels
ISS A/S ,iss,denmark,xcse,diversified business services
ISS A/S ,0qrs,united kingdom,xlon,diversified business services
ISS A/S ADR ,issdy,united states,ootc,diversified business services
ISSTA Lines Ltd. ,ista,israel,xtae,tourism
Issuer Direct Corp. ,isdr,united states,xase,publishing
IST Ltd. ,508807,india,xbom,motor vehicle parts
