name,symbol,country,exchange,sector
Jiangsu Linyang Energy Co. Ltd. ,601222,china,xshg,precision products
Jiangsu LiXing General Steel Ball Co. Ltd. ,300421,china,xshe,iron/steel
Jiangsu Lopal Tech Co. Ltd. A ,603906,china,xshg,chemicals
Jiangsu Luokai Mechanical & Electrical Co. Ltd. A ,603829,china,xshg,industrial electronics
Jiangsu Maixinlin Aviation Science & Technology Corp. A ,688685,china,xshg,aerospace products/parts
Jiangsu Maysta Chemical Co. Ltd. A ,603041,china,xshg,chemicals
Jiangsu Nandasoft Technology Co. Ltd. ,8045,hong kong,xhkg,software
Jiangsu Nanfang Medical Co. Ltd. A ,603880,china,xshg,medical equipment/supplies
Jiangsu Nanfang Precision Co. Ltd. A ,002553,china,xshe,motor vehicle parts
Jiangsu Nata Opto-Electronic Material Co. Ltd. ,300346,china,xshe,chemicals
Jiangsu New Energy Development Co. Ltd. ,603693,china,xshg,renewable energy generation
Jiangsu New Technology Co. Ltd. A ,301229,china,xshe,motor vehicle parts
Jiangsu Newamstar Packaging Machinery Co. Ltd. ,300509,china,xshe,industrial machinery
Jiangsu Nhwa Pharmaceutical Co. Ltd. ,002262,china,xshe,pharmaceuticals
Jiangsu Nonghua Intelligent Agriculture Technology Co. Ltd. A ,000816,china,xshe,mobile machinery
Jiangsu Olive Sensors High-Tech Co. Ltd. ,300507,china,xshe,motor vehicle parts
Jiangsu Pacific Precision Forging Co. Ltd. ,300258,china,xshe,motor vehicle parts
Jiangsu Pacific Quartz Co. Ltd. ,603688,china,xshg,industrial electronics
Jiangsu Phoenix Property Investment Co. Ltd. ,600716,china,xshg,real estate developers
Jiangsu Phoenix Publishing & Media Corp. Ltd. ,601928,china,xshg,publishing
Jiangsu Provincial Agricultural Reclamation & Development Co. Ltd. A ,601952,china,xshg,farming
Jiangsu Rainbow Heavy Industries Co. Ltd. ,002483,china,xshe,industrial machinery
Jiangsu Recbio Technology Co. Ltd. ,2179,hong kong,xhkg,pharmaceuticals
Jiangsu Rijiu Optoelectronics Jointstock Co. Ltd. A ,003015,china,xshe,industrial electronics
Jiangsu Riying Electronics Co. Ltd. ,603286,china,xshg,motor vehicle parts
Jiangsu Rongtai Industry Co. Ltd. A ,605133,china,xshg,industrial machinery
Jiangsu Rutong Petro-Machinery Co. Ltd. ,603036,china,xshg,oil & gas products/services
Jiangsu Safety Wire Rope Co. Ltd. A ,603028,china,xshg,industrial products
Jiangsu Sainty Corp. Ltd. A ,600287,china,xshg,clothing
Jiangsu Sanfame Co. Ltd. A ,600370,china,xshg,clothing
Jiangsu Seagull Cooling Tower Co. Ltd. A ,603269,china,xshg,building materials/products
Jiangsu Shagang Co. Ltd. ,002075,china,xshe,iron/steel
Jiangsu Shemar Electric Co. Ltd. A ,603530,china,xshg,industrial electronics
Jiangsu Shentong Valve Co. Ltd. A ,002438,china,xshe,industrial machinery
Jiangsu Shuangxing Color Plastic New Materials Co. Ltd. ,002585,china,xshe,chemicals
Jiangsu Sidike New Materials Science & Technology Co. Ltd. A ,300806,china,xshe,industrial products
