name,symbol,country,exchange,sector
Koncar-Distributivni I Specijalni Transformatori d.d. ,kodt,croatia,xzag,industrial electronics
Koncar-Distributivni I Specijalni Transformatori d.d. Pfd. ,kodt2,croatia,xzag,industrial electronics
Koncar-Elektroindustrija d.d. ,koei,croatia,xzag,industrial electronics
Kondotec Inc. ,7438,japan,xtks,building materials/products
Kone Oyj ADR ,knyjy,united states,ootc,industrial machinery
Kone Oyj B ,knebv,finland,xhel,industrial machinery
Kone Oyj Cl B ,kc4,united states,xetr,industrial machinery
Kone Oyj Series B ,knyjf,united states,ootc,industrial machinery
Kone Oyj Series B ,0ii2,united kingdom,xlon,industrial machinery
K-One Technology Bhd ,0111,malaysia,xkls,technical services
Konecranes Oyj ,kncrf,united states,ootc,mobile machinery
Konecranes Oyj ,0met,united kingdom,xlon,mobile machinery
Konecranes Oyj ,kcr,finland,xhel,mobile machinery
Konfoong Materials International Co. Ltd. A ,300666,china,xshe,semiconductors
Konfrut Gida Sanayi ve Ticaret A.S. ,knfrt.e,turkey,xist,food products
Kong Sun Holdings Ltd. ,295,hong kong,xhkg,renewable energy generation
Kongsberg Automotive ASA ,0hw0,united kingdom,xlon,motor vehicle parts
Kongsberg Automotive ASA ,koa,norway,xosl,motor vehicle parts
Kongsberg Automotive Holding ASA ,kgauf,united states,ootc,motor vehicle parts
Kongsberg Gruppen ASA ,0f08,united kingdom,xlon,water transport/shipping
Kongsberg Gruppen ASA ,nskff,united states,ootc,water transport/shipping
Kongsberg Gruppen ASA ,kog,norway,xosl,water transport/shipping
Konica Minolta Inc. ,kncaf,united states,ootc,computers/consumer electronics
Konica Minolta Inc. ,4902,japan,xtks,computers/consumer electronics
Konica Minolta Inc. ADR ,kncay,united states,ootc,computers/consumer electronics
Koninklijke Ahold Delhaize N.V. ,ad,italy,xmil,food retail
Koninklijke Ahold Delhaize N.V. ,0ri8,united kingdom,xlon,food retail
Koninklijke Ahold Delhaize N.V. ,ad,netherlands,xams,food retail
Koninklijke Ahold Delhaize N.V. ,ad,austria,xwbo,food retail
Koninklijke Ahold Delhaize N.V. ,ahodf,united states,ootc,food retail
Koninklijke Ahold Delhaize N.V. ,ahog,united states,xetr,food retail
Koninklijke Ahold Delhaize N.V. ADR ,ahod,germany,xfra,food retail
Koninklijke Ahold Delhaize N.V. ADR ,adrny,united states,ootc,food retail
Koninklijke BAM Groep N.V. ,bamnb,netherlands,xams,construction
Koninklijke BAM Groep N.V. ,0lnq,united kingdom,xlon,construction
Koninklijke Boskalis Westminster N.V. ,kbwa,germany,xfra,None
Koninklijke Boskalis Westminster N.V. ,0lo8,united kingdom,xlon,construction
Koninklijke Boskalis Westminster N.V. ,boka,netherlands,xams,construction
Koninklijke Boskalis Westminster N.V. ADR ,rbwny,united states,ootc,construction
Koninklijke Brill N.V. ,brill,netherlands,xams,publishing
Koninklijke Delftsch Aardewerkfabriek de Porceleyne Fles Anno 1653 N.V. ,porf,netherlands,xams,housewares
Koninklijke DSM N.V. ,0npp,united kingdom,xlon,chemicals
Koninklijke DSM N.V. ,dsm,netherlands,xams,chemicals
Koninklijke DSM N.V. ,kdskf,united states,ootc,chemicals
Koninklijke DSM N.V. ,dsm2,united states,xetr,chemicals
Koninklijke DSM N.V. ADR ,rdsmy,united states,ootc,chemicals
Koninklijke Philips N.V. ,phi1,united states,xetr,medical equipment/supplies
Koninklijke Philips N.V. ,phia,austria,xwbo,medical equipment/supplies
Koninklijke Philips N.V. ,0lng,united kingdom,xlon,medical equipment/supplies
Koninklijke Philips N.V. ,phia,netherlands,xams,medical equipment/supplies
Koninklijke Philips N.V. ,phia,italy,xmil,medical equipment/supplies
Koninklijke Philips N.V. ,rylpf,united states,ootc,medical equipment/supplies
