name,symbol,country,exchange,sector
Lease IT PCL ,lit,thailand,xbkk,finance companies
Leatec Fine Ceramics Co. Ltd. ,6127,taiwan,roco,semiconductors
Leather Up Ltd. ,leul,pakistan,xkar,clothing
Leatt Corp. ,leat,united states,ootc,clothing
LEC Inc. ,7874,japan,xtks,nondurable household products
Leche Gloria S.A. ,gloriai1,peru,xlim,food products
Lechwerke AG ,lec,germany,xfra,electric utilities
Lecico Egypt S.A.E. ,lcsw,egypt,nilx,building materials/products
Lecip Holdings Corp. ,7213,japan,xtks,precision products
Leclanche S.A. Reg. ,lecn,switzerland,xswx,industrial electronics
Leclanche S.A. Reg. ,0qp6,united kingdom,xlon,industrial electronics
Lecron Industrial Development Group Co. Ltd. A ,300343,china,xshe,chemicals
Lectra S.A. ,0ivj,united kingdom,xlon,software
Lectra S.A. ,lss,france,xpar,software
LED iBond International A/S ,ledibond,denmark,xcse,industrial electronics
Ledesma S.A.A.I. ,lede,argentina,xbue,food products
Ledlink Optics Inc. ,5230,taiwan,roco,industrial electronics
Ledman Optoelectronic Co. Ltd. ,300162,china,xshe,industrial electronics
Ledtech Electronics Corp. ,6164,taiwan,xtai,semiconductors
Ledyard Financial Group Inc. ,lfgp,united states,ootc,banking
Lee & Man Chemical Co. Ltd. ,746,hong kong,xhkg,chemicals
Lee & Man Paper Manufacturing Ltd. ,2314,hong kong,xhkg,paper/pulp
Lee & Man Paper Manufacturing Ltd. ADR ,lmpmy,united states,ootc,paper/pulp
Lee & Nee Softwares (Exports) Ltd. ,517415,india,xbom,software
Lee Chi Enterprises Co. Ltd. ,1517,taiwan,xtai,sports goods
Lee Enterprises Inc. ,lee,united states,xnas,publishing
Lee Feed Mill PCL ,lee,thailand,xbkk,food products
Lee Hedges PLC ,shaw.n0000,sri lanka,xcol,wholesalers
Lee Kee Holdings Ltd. ,637,hong kong,xhkg,non-ferrous metals
Lee Ku Industrial Co. Ltd. ,025820,south korea,xkrx,non-ferrous metals
Lee Pharmaceuticals ,lphm,united states,ootc,pharmaceuticals
Lee Swee Kiat Group Bhd ,8079,malaysia,xkls,housewares
Leedarson IoT Technology Inc. A ,605365,china,xshg,emerging technologies
Leeds Group PLC ,ldsg,united kingdom,xlon,wholesalers
Leejam Sports ,1830,saudi arabia,xsau,recreational services
LEENO Industrial Inc. ,058470,south korea,xkrx,semiconductors
Leenos Corp. ,039980,south korea,xkrx,leisure goods
LEEP Inc. ,lppi,united states,ootc,building materials/products
Leeport (Holdings) Ltd. ,387,hong kong,xhkg,industrial machinery
Lee's Pharmaceutical Holdings Ltd. ,950,hong kong,xhkg,pharmaceuticals
Leet Technology Inc. ,ltes,united states,ootc,toys & games
Left Field Printing Group Ltd. ,1540,hong kong,xhkg,printing
Lefteris Acquisition Corp. ,lftru,united states,xnas,shell companies
Lefteris Acquisition Corp. Cl A ,lftr,united states,xnas,shell companies
Lefteris Acquisition Corp. Wt ,lftrw,united states,xnas,None
LEG Immobilien AG ,0qc9,united kingdom,xlon,real estate developers
LEG Immobilien SE ,legif,united states,ootc,real estate developers
LEG Immobilien SE ,leg,united states,xetr,real estate developers
Legacy Education Alliance Inc. ,leai,united states,ootc,employment/training services
Legacy Footwear Ltd. ,legacyfoot,bangladesh,xdha,footwear
Legacy Housing Corp. ,legh,united states,xnas,residential building construction
Legacy Iron Ore Ltd. ,lcy,australia,xasx,iron/steel
Legacy Minerals Holdings Ltd. ,lgm,australia,xasx,general mining
Legadi de Inversiones S.A. ,s1907,spain,xmad,mutual & other funds
Legal & General Group PLC ,lgen,united kingdom,xlon,investment advisors
Legal & General Group PLC ,lgi,germany,xfra,investment advisors
Legal & General Group PLC ,lggnf,united states,ootc,investment advisors
Legal & General Group PLC ,lgenn,mexico,xmex,investment advisors
Legal & General Group PLC ADR ,lggny,united states,ootc,investment advisors
LegalZoom.com Inc. ,lz,united states,xnas,general services
Legato Merger Corp. II ,lgto,united states,xnas,shell companies
Legato Merger Corp. II Un ,lgtou,united states,xnas,shell companies
Legato Merger Corp. II Wt ,lgtow,united states,xnas,None
Legend Biotech Corp. ADR ,legn,united states,xnas,biotechnology
Legend Holdings Corp. ,3396,hong kong,xhkg,diversified holding companies
Legend Mining Ltd. ,leg,australia,xasx,non-ferrous metals
Legend Oil & Gas Ltd. ,logl,united states,ootc,oil extraction
Legend Power Systems Inc. ,lpsif,united states,ootc,industrial electronics
Legend Power Systems Inc. ,lps,canada,xtsx,industrial electronics
Legends Business Group Inc. ,lgbs,united states,ootc,diversified business services
Leggett & Platt Inc. ,0jtt,united kingdom,xlon,furniture
Leggett & Platt Inc. ,leg,united states,xnys,furniture
Legible Inc. ,read,canada,xcnq,publishing
Legimi S.A. ,leg,poland,xwar,publishing
Legion Consortium Ltd. ,2129,hong kong,xhkg,transportation services
Legitima S.A. ,s1835,spain,xmad,mutual & other funds
LegoChem Biosciences Inc. ,141080,south korea,xkrx,biotechnology
Legrand S.A. ,lr,france,xpar,industrial electronics
Legrand S.A. ,0mw7,united kingdom,xlon,industrial electronics
Legrand S.A. ,lgrvf,united states,ootc,industrial electronics
Legrand S.A. ADR ,lgrdy,united states,ootc,industrial electronics
Lehar Footwears Ltd. ,532829,india,xbom,footwear
Lehman Brothers Holdings Capital Trust III 6.375% Pfd. Series K ,lehkq,united states,ootc,securities
Lehman Brothers Holdings Capital Trust IV 6.375% Pfd. Series L ,lehlq,united states,ootc,securities
Lehman Brothers Holdings Capital Trust V 6% Pfd. Series M ,lhhmq,united states,ootc,securities
Lehman Brothers Holdings Capital Trust VI 6.24% Pfd. Series N ,lehnq,united states,ootc,securities
Lehner Investments AG ,leh,germany,xfra,None
Lehto Group Oyj ,lehto,finland,xhel,construction
Lehto Group Oyj ,0rfz,united kingdom,xlon,construction
Leidos Holdings Inc. ,ldos,united states,xnys,computer services
Leifheit AG ,lei,united states,xetr,housewares
Leifheit AG ,0f2z,united kingdom,xlon,housewares
Leiner Pak Gelatine Ltd. ,lpgl,pakistan,xkar,food products
Leisure & Resorts World Corp. ,lr,philippines,xphs,recreational services
Leju Holdings Ltd. ADR ,leju,united states,xnys,real estate developers
Leju Holdings Ltd. ADR ,1lua,germany,xfra,real estate developers
Lekta Therapy Ltd. ,lek,austria,xwbo,healthcare provision
Lelon Electronics Corp. ,2472,taiwan,xtai,industrial electronics
LEM Holding S.A. ,0qkb,united kingdom,xlon,precision products
LEM Holding S.A. ,lehn,switzerland,xswx,precision products
LeMaitre Vascular Inc. ,lmat,united states,xnas,medical equipment/supplies
Lemon Co. Ltd. ,294140,south korea,xkrx,chemicals
Lemon Tree Hotels Ltd. ,541233,india,xbom,None
Lemonade Inc. ,lmnd,united states,xnys,non-life insurance
Lemonsoft Oyj ,lemon,finland,xhel,software
Lemtech Holdings Co. Ltd. ,4912,taiwan,xtai,industrial products
Lena Lighting S.A. ,len,poland,xwar,building materials/products
Lend Lease Group ,llesf,united states,ootc,real estate developers
Lendified Holdings Inc. ,lhi,canada,xtsx,finance companies
LendingClub Corp. ,lc,united states,xnys,consumer finance
Lendingmachine Co. Ltd. ,179720,south korea,xkon,consumer finance
LendingTree Inc. ,0jtz,united kingdom,xlon,mortgages
LendingTree Inc. ,tree,united states,xnas,mortgages
LendInvest PLC ,linv,united kingdom,xlon,consumer finance
Lendlease Corp. Ltd. ADR ,llesy,united states,ootc,real estate developers
Lendlease Global Commercial REIT ,jyeu,singapore,xses,retail reits
LendLease Group ,llc,australia,xasx,real estate developers
Lennar Corp. Cl A ,len,united states,xnys,residential building construction
Lennar Corp. Cl A ,lnn,germany,xfra,residential building construction
Lennar Corp. Cl A ,0ju0,united kingdom,xlon,residential building construction
Lennar Corp. Cl B ,len.b,united states,xnys,residential building construction
Lennox International Inc. ,lii,united states,xnys,building materials/products
Lenovo Group Ltd. ,lnvgf,united states,ootc,computers/consumer electronics
Lenovo Group Ltd. ,lhl,germany,xfra,computers/consumer electronics
Lenovo Group Ltd. ,992,hong kong,xhkg,computers/consumer electronics
Lenovo Group Ltd. ADR ,lnvgy,united states,ootc,computers/consumer electronics
Lenox Pasifik Investama ,lpps,indonesia,xidx,securities
Lens Technology Co. Ltd. ,300433,china,xshe,computers/consumer electronics
LENSAR Inc. ,lnsr,united states,xnas,medical equipment/supplies
Lentex S.A. ,ltx,poland,xwar,building materials/products
Lentiscal Inversiones S.A. ,s0640,spain,xmad,mutual & other funds
Lenzing AG ,0ncv,united kingdom,xlon,chemicals
Lenzing AG ,lnz,austria,xwbo,chemicals
Lenzing AG ,len,united states,xetr,chemicals
Lenzoloto ,lnzl,russia,misx,gold
Lenzoloto Pfd. ,lnzlp,russia,misx,gold
Leo Global Logistics PCL ,leo,thailand,xbkk,transportation services
Leo Group Co. Ltd. A ,002131,china,xshe,industrial machinery
Leo Holdings Corp. II ,lhc.ut,united states,xnys,shell companies
Leo Holdings Corp. II Cl A ,lhc,united states,xnys,shell companies
Leo Holdings Corp. II Wt ,lhc.wt,united states,xnys,None
LEO Systems Inc. ,5410,taiwan,roco,computers/consumer electronics
Leoch International Technology Ltd. ,842,hong kong,xhkg,industrial electronics
Leoclan Co. Ltd. ,7681,japan,xtks,diversified business services
Leocor Gold Inc. ,lecr,canada,xcnq,general mining
Leocor Gold Inc. ,lecrf,united states,ootc,general mining
Leofoo Development Co. Ltd. ,2705,taiwan,xtai,restaurants
Leon Fuat Bhd ,5232,malaysia,xkls,iron/steel
Leon Technology Co. Ltd. A ,300603,china,xshe,industrial electronics
Leonardo S.p.A. ,finmf,united states,ootc,aerospace products/parts
Lasertec Corp. ,lsrcf,united states,ootc,precision products
Lasertec Corp. ADR ,lsrcy,united states,ootc,precision products
Lassila & Tikanoja Oyj ,0f29,united kingdom,xlon,environment/waste management
Lassila & Tikanoja Oyj ,lat1v,finland,xhel,environment/waste management
Lassonde Industries Inc. Cl A ,las.a,canada,xtse,non-alcoholic beverages/drinks
Lassonde Industries Inc. Cl A ,lsdaf,united states,ootc,non-alcoholic beverages/drinks
Last One Mile Co. Ltd. ,9252,japan,xtks,general services
Laster Tech Co. Ltd. ,3346,taiwan,xtai,semiconductors
lastminute.com N.V. ,lmn,switzerland,xswx,tourism
lastminute.com N.V. ,0qt0,united kingdom,xlon,tourism
LAT Co. Ltd. ,311060,south korea,xkon,precision products
LATAM Airlines Group S.A. ,ltm,chile,xsgo,passenger airlines
LATAM Airlines Group S.A. ADR ,ltmaq,united states,ootc,passenger airlines
LATAM Airlines Group S.A. ADR ,lfl,germany,xfra,passenger airlines
