name,symbol,country,exchange,sector
Marson's Ltd. ,517467,india,xbom,industrial electronics
Marssenger Kitchenware Co. Ltd. A ,300894,china,xshe,housewares
Marston's PLC ,mars,united kingdom,xlon,restaurants
Marston's PLC ,marzf,united states,ootc,restaurants
MARTAS Precision Slide Co. Ltd. ,6705,taiwan,roco,industrial products
Martela Oyj A ,maras,finland,xhel,furniture
Martello Technologies Group Inc. ,mtlo,canada,xtsx,software
Martello Technologies Group Inc. ,drkof,united states,ootc,software
Marten Transport Ltd. ,mrtn,united states,xnas,trucking
Marti Gayrimenkul Yatirim Ortakligi A.S. ,mrgyo.e,turkey,xist,hotel/lodging reits
Marti Otel Isletmeleri A.S. ,marti.e,turkey,xist,hotels
Martifer SGPS S/A ,mar,portugal,xlis,construction
Martin Burn Ltd. ,523566,india,xbom,construction
Martin Marietta Materials Inc. ,mlm,united states,xnys,building materials/products
Martin Midstream Partners L.P. ,mmlp,united states,xnas,pipeline transportation
Martina Berto ,mbto,indonesia,xidx,personal care products/appliances
Martinrea International Inc. ,mre,canada,xtse,motor vehicle parts
Martinrea International Inc. ,mretf,united states,ootc,motor vehicle parts
Marubeni Construction Material Lease Co. Ltd. ,9763,japan,xtks,general services
Marubeni Corp. ,8002,japan,xtks,wholesalers
Marubeni Corp. ,maruf,united states,ootc,wholesalers
Marubeni Corp. ADR ,maruy,united states,ootc,wholesalers
Marubun Corp. ,7537,japan,xtks,semiconductors
Maruchiyo Yamaokaya Corp. ,3399,japan,xjas,restaurants
Marudai Food Co. Ltd. ,2288,japan,xtks,food products
Marufuji Sheet Piling Co. Ltd. ,8046,japan,xtks,wholesalers
Maruha Nichiro Corp. ,1333,japan,xtks,fishing
Maruhachi Holdings Co. Ltd. ,3504,japan,xngo,housewares
Maruhachi Warehouse Co. Ltd. ,9313,japan,xtks,transportation services
Marui Group Co. Ltd. ,8252,japan,xtks,mixed retailing
Marui Group Co. Ltd. ADR ,maury,united states,ootc,mixed retailing
Maruichi Co. Ltd. ,8228,japan,xngo,wholesalers
Maruichi Steel Tube Ltd. ,5463,japan,xtks,iron/steel
Marujun Co. Ltd. ,3422,japan,xtks,motor vehicle parts
Maruka Furusato Corp. ,7128,japan,xtks,wholesalers
Marumae Co. Ltd. ,6264,japan,xtks,industrial machinery
Maruo Calcium Co. Ltd. ,4102,japan,xtks,chemicals
Marusan Securities Co. Ltd. ,8613,japan,xtks,securities
Marusan-Ai Co. Ltd. ,2551,japan,xngo,food products
Marusho Hotta Co. Ltd. ,8105,japan,xtks,clothing
Marutai Co. Ltd. ,2919,japan,xfka,food products
Maruti Infrastructure Ltd. ,531540,india,xbom,construction
Maruti Interior Products Ltd. ,543464,india,xbom,furniture
Maruti Securities Ltd. ,531319,india,xbom,finance companies
Maruti Suzuki India Ltd. ,532500,india,xbom,None
Maruto Sangyo Co. Ltd. ,7894,japan,xfka,containers/packaging
Maruwa Co. Ltd. (5344) (Owariasahi) ,maw,united kingdom,xlon,industrial products
Maruwa Co. Ltd. (5344) (Owariasahi) ,5344,japan,xtks,industrial products
Maruwa Unyu Kikan Co. Ltd. ,9090,japan,xtks,transportation services
Maruwn Corp. ,9067,japan,xtks,trucking
Maruyama Mfg. Co. Inc. ,6316,japan,xtks,mobile machinery
Maruyoshi Center Inc. ,7515,japan,xtks,food retail
Maruzen CHI Holdings Co. Ltd. ,3159,japan,xtks,specialty retail
Maruzen Co. Ltd. (5982) ,5982,japan,xtks,industrial machinery
Maruzen Showa Unyu Co. Ltd. ,9068,japan,xtks,transportation services
Marvel Biosciences Corp. ,mrvl,canada,xtsx,biotechnology
Marvel Discovery Corp. ,marv,canada,xtsx,non-ferrous metals
Marvel Discovery Corp. ,marvf,united states,ootc,non-ferrous metals
Marvel Gold Ltd. ,mvl,australia,xasx,gold
Marvell Technology Inc. ,mrvl,united states,xnas,semiconductors
Marvelous Inc. ,7844,japan,xtks,toys & games
