name,symbol,country,exchange,sector
O Bank No. 1 REIT ,01009t,taiwan,xtai,diversified reits
O Sorbet d'Amour S.A. ,mlosa,france,xpar,restaurants
O.A.T. Inc. ,oatn,united states,ootc,general mining
O.C.C. PCL ,occ,thailand,xbkk,personal care products/appliances
O.R.T. Technologies Ltd. ,ortc,israel,xtae,precision products
O.Y. Nofar Energy Ltd. ,nofr,israel,xtae,industrial electronics
O2Gold Inc. ,otgo,canada,xtsx,shell companies
O2Micro International Ltd. ADR ,oiim,united states,xnas,semiconductors
O3 Mining Inc. ,oiii,canada,xtsx,gold
O3 Mining Inc. ,oiiif,united states,ootc,gold
Oak Capital Corp. ,3113,japan,xtks,investment advisors
Oak Ridge Financial Services Inc. ,bkor,united states,ootc,banking
Oak Street Health Inc. ,osh,united states,xnys,healthcare provision
Oak Valley Bancorp ,ovly,united states,xnas,banking
Oak View Bankshares Inc. ,oakv,united states,ootc,banking
Oakajee Corp. Ltd. ,okj,australia,xasx,building materials/products
Oakridge International Ltd. ,oak,australia,xasx,emerging technologies
Oaktree Acquisition Corp. II ,oacb.ut,united states,xnys,shell companies
Oaktree Acquisition Corp. II Cl A ,oacb,united states,xnys,shell companies
Oaktree Acquisition Corp. II Wt ,oacb.wt,united states,xnys,None
Oaktree Capital Group LLC 6.55% Non-Cum. Pfd. Series B ,oak.prb,united states,xnys,real estate developers
Oaktree Capital Group LLC 6.625% Pfd. Series A ,oak.pra,united states,xnys,real estate developers
Oaktree Specialty Lending Corp. ,ocsl,united states,xnas,closed-end funds
Oando PLC ,oao,south africa,xjse,major oil & gas
OandO PLC ,oando,nigeria,xnsa,major oil & gas
OAR Resources Ltd. ,oar,australia,xasx,general mining
Oasis Crescent Property Fund ,oas,south africa,xjse,industrial/office reits
Oasis Petroleum Inc. ,oas,united states,xnas,oil extraction
Oasis Petroleum Inc. Wt ,oaspw,united states,ootc,None
Oasis Securities Ltd. ,512489,india,xbom,finance companies
OAT Agrio Co. Ltd. ,4979,japan,xtks,chemicals
Oatly Group AB ADR ,otly,united states,xnas,food products
O-Bank Co. Ltd. ,2897,taiwan,xtai,banking
O-Bank Co. Ltd. Pfd. ,2897a,taiwan,xtai,banking
Obara Group Inc. ,6877,japan,xtks,precision products
Obayashi Corp. ,1802,japan,xtks,construction
Obducat AB Pfd. B ,obdu.pref.b,sweden,xngm,precision products
Obducat AB Series B ,obdu.b,sweden,xngm,precision products
Obeikan Glass Co. ,9531,saudi arabia,xsau,industrial products
Ober S.A. ,alobr,france,xpar,forestry & wood products
Oberbank AG ,obs,austria,xwbo,banking
Oberoi Realty Ltd. ,533273,india,xbom,None
OBI Pharma Inc. ,4174,taiwan,roco,pharmaceuticals
Obic Business Consultants Co. Ltd. ,4733,japan,xtks,software
Obic Co. Ltd. ,4684,japan,xtks,computer services
Obic Co. Ltd. ,obiif,united states,ootc,computer services
Obigo Inc. ,352910,south korea,xkrx,software
OBiO Technology (Shanghai) Corp. Ltd. A ,688238,china,xshg,healthcare provision
Obitx Inc. ,obtx,united states,ootc,emerging technologies
Obiz S.A. ,albiz,france,xpar,advertising/marketing/public relations
Objective Corp. Ltd. ,ocl,australia,xasx,software
ObjectOne Information Systems Ltd. ,535657,india,xbom,software
Oblong Inc. ,oblg,united states,xnas,wired telecommunications services
OBM Drilchem ,obmd,indonesia,xidx,chemicals
Obocon Inc. ,obcn,united states,ootc,software
OboTech Acquisition SE ,ota,united states,xetr,shell companies
Obourland for Food Industries ,olfi,egypt,nilx,food products
Obrascon Huarte Lain S.A. ,0mkg,united kingdom,xlon,construction
Obrascon Huarte Lain S.A. ,obsjf,united states,ootc,construction
Obrascon Huarte Lain S.A. ,ohla,spain,xmad,construction
Observe Medical ASA ,obsrv,norway,xosl,medical equipment/supplies
ObsEva S.A. ,obsn,switzerland,xswx,biotechnology
ObsEva S.A. ,obsv,united states,xnas,biotechnology
Obsidian Energy Ltd. ,obe,united states,xase,oil extraction
Obsidian Energy Ltd. ,obe,canada,xtse,oil extraction
OC Oerlikon Corp. AG ,0qo3,united kingdom,xlon,industrial electronics
OC Oerlikon Corp. AG ,oerl,switzerland,xswx,industrial electronics
OCA Acquisition Corp. ,ocaxu,united states,xnas,shell companies
OCA Acquisition Corp. Cl A ,ocax,united states,xnas,shell companies
OCA Acquisition Corp. Wt ,ocaxw,united states,xnas,None
Ocado Group PLC ,ocdo,united kingdom,xlon,food retail
Ocado Group PLC ,ocdgf,united states,ootc,food retail
Ocado Group PLC ADR ,ocddy,united states,ootc,food retail
OCB Bhd ,5533,malaysia,xkls,food products
Occidental Petroleum Corp. ,opc,united states,xetr,oil extraction
Occidental Petroleum Corp. ,0kak,united kingdom,xlon,oil extraction
Occidental Petroleum Corp. ,oxy,united states,xnys,oil extraction
Occidental Petroleum Corp. Wt ,oxy.wt,united states,xnys,None
Ocean Bio-Chem Inc. ,obci,united states,xnas,nondurable household products
Ocean Bridge Corp. ,241790,south korea,xkrx,semiconductors
Ocean GeoLoop A/S ,ocean,norway,xosl,industrial machinery
Ocean Glass PCL ,ogc,thailand,xbkk,housewares
Ocean Group JSC ,ogc,vietnam,xstc,diversified holding companies
Ocean Line Port Development Ltd. ,8502,hong kong,xhkg,water transport/shipping
Ocean One Holding Ltd. ,8476,hong kong,xhkg,food retail
Ocean Outdoor Ltd. ,oout,united kingdom,xlon,advertising/marketing/public relations
Ocean Plastics Co. Ltd. ,1321,taiwan,xtai,industrial products
Ocean Power Technologies Inc. ,optt,united states,xase,industrial electronics
Ocean Star Technology Group Ltd. ,8297,hong kong,xhkg,clothing retail
Ocean Stone Corp. ,329020,south korea,xkon,food products
Ocean Sun A/S ,osun,norway,xosl,industrial electronics
Ocean System Corp. ,3096,japan,xjas,food retail
Ocean Thermal Energy Corp. ,cpwr,united states,ootc,renewable energy generation
Ocean Vantage Holdings Bhd ,0220,malaysia,xkls,oil & gas products/services
Ocean Wilsons Holdings Ltd. ,ocn,united kingdom,xlon,water transport/shipping
Oceana Group Ltd. ,ocg,namibia,xnam,fishing
Oceana Group Ltd. ,oce,south africa,xjse,fishing
Oceanaa Biotek Industries Ltd. ,538019,india,xbom,technical services
OceanaGold Corp. ,0vaq,united kingdom,xlon,gold
OceanaGold Corp. ,ocanf,united states,ootc,gold
OceanaGold Corp. ,ogc,canada,xtse,gold
Oceancash Pacific Bhd ,0049,malaysia,xkls,medical equipment/supplies
Oceaneering International Inc. ,oii,united states,xnys,oil & gas products/services
Oceaneering International Inc. ,0kan,united kingdom,xlon,oil & gas products/services
OceanFirst Financial Corp. ,ocfc,united states,xnas,banking
OceanFirst Financial Corp. Dep. Pfd. (Rep. 1/40th Perp. Non-Cum. Pfd. Series A) ,ocfcp,united states,xnas,banking
Oceania Healthcare Ltd. ,oca,new zealand,xnze,healthcare provision
Oceania Healthcare Ltd. ,oca,australia,xasx,healthcare provision
Oceanic Beverages Co. Inc. ,1213,taiwan,xtai,non-alcoholic beverages/drinks
Oceanic Foods Ltd. ,540405,india,xbom,food products
Oceanic Iron Ore Corp. ,feo,canada,xtsx,iron/steel
Oceanic Wind Energy Inc. ,nkwff,united states,ootc,renewable energy generation
Oceanic Wind Energy Inc. ,nkw.h,canada,xtsx,renewable energy generation
OceanPal Inc. ,op,united states,xnas,water transport/shipping
Ocean's King Lighting Science & Technology Co. Ltd. ,002724,china,xshe,industrial electronics
Oceanteam ASA ,ots,norway,xosl,water transport/shipping
OceanTech Acquisitions I Corp. ,otecu,united states,xnas,shell companies
OceanTech Acquisitions I Corp. Cl A ,otec,united states,xnas,shell companies
OceanTech Acquisitions I Corp. Wt ,otecw,united states,xnas,None
Oceanus Group Ltd. ,579,singapore,xses,fishing
Oceanwide Holdings Co. Ltd. A ,000046,china,xshe,real estate developers
Ochi Holdings Co. Ltd. ,3166,japan,xtks,wholesalers
OCI Co. Ltd. ,010060,south korea,xkrx,chemicals
OCI International Holdings Ltd. ,dgtlf,united states,ootc,pharmaceuticals
OCI International Holdings Ltd. ,329,hong kong,xhkg,pharmaceuticals
OCI N.V. ,0qgh,united kingdom,xlon,construction
OCI N.V. ,oci,netherlands,xams,construction
OCI N.V. ,ocinf,united states,ootc,construction
OCI N.V. ,ocin,mexico,xmex,construction
OCK Group Bhd ,0172,malaysia,xkls,networking
Oconee Federal Financial Corp. ,ofed,united states,xnas,banking
OCR Group Bhd ,7071,malaysia,xkls,construction
Octal Credit Capital Ltd. ,538894,india,xbom,finance companies
Octanex Ltd. ,oxx,australia,xasx,oil extraction
Octava S.A. ,08n,poland,xwar,closed-end funds
Octavius Plantations Ltd. ,542938,india,xbom,farming
October Pharma ,ocph,egypt,nilx,pharmaceuticals
Octodec Investments Ltd. ,oct,south africa,xjse,real estate developers
Octopus Digital Ltd. ,octopus,pakistan,xkar,software
Octopus Renewables Infrastructure Trust PLC ,orit,united kingdom,xlon,closed-end funds
Octopus Robots S.A. ,mloct,france,xpar,precision products
Ocugen Inc. ,ocgn,united states,xnas,biotechnology
Ocular Therapeutix Inc. ,ocul,united states,xnas,pharmaceuticals
Oculus Visiontech Inc. ,ovtz,united states,ootc,software
Oculus VisionTech Inc. ,ovt,canada,xtsx,software
Ocumension Therapeutics ,1477,hong kong,xhkg,pharmaceuticals
Ocumetics Technology Corp. ,otc,canada,xtsx,emerging technologies
Ocumetics Technology Corp. ,otcff,united states,ootc,emerging technologies
Ocuphire Pharma Inc. ,ocup,united states,xnas,pharmaceuticals
Ocwen Financial Corp. ,0kas,united kingdom,xlon,mortgages
Osteonic Co. Ltd. ,226400,south korea,xkrx,medical equipment/supplies
Osteopore Ltd. ,osx,australia,xasx,medical equipment/supplies
Ostim Endustriyel Yatirimlar ve Isletme A.S. ,ostim.e,turkey,xist,finance companies
Ostin Technology Group Co. Ltd. ,ost,united states,xnas,computers/consumer electronics
Ostrom Climate Solutions Inc. ,coo,canada,xtsx,environment/waste management
Oswal Agro Mills Ltd. ,500317,india,xbom,finance companies
OSX Brasil S/A Ord ,osxb3,brazil,bvmf,oil & gas products/services
Osyka Corp. ,oska,united states,ootc,oil extraction
OT Logistics S.A. ,ots,poland,xwar,water transport/shipping
O-Ta Precision Industry Co. Ltd. ,8924,taiwan,roco,sports goods
OTAQ PLC ,otaq,united kingdom,xlon,precision products
OTC Markets Group Inc. Cl A ,otcm,united states,ootc,securities
Otco International Ltd. ,523151,india,xbom,software
Otello Corp. ASA ,otec,norway,xosl,internet/online
Otello Corp. ASA ,0fi5,united kingdom,xlon,internet/online
Otis Collection LLC Drop 018 ,oggcs,united states,ootc,finance companies
Otis Gallery LLC Drop 074 ,otkms,united states,ootc,finance companies
Otis Gallery LLC Drop 099 ,oglfs,united states,ootc,finance companies
Otis Gallery LLC Drop 116 ,ogpks,united states,ootc,finance companies
Otis Gallery LLC Drop 119 ,ogdms,united states,ootc,finance companies
Otis Gallery LLC Drop 122 ,ogmbs,united states,ootc,finance companies
Otis Worldwide Corp. ,otis,united states,xnys,industrial machinery
oToBrite Electronic Inc. ,2256,taiwan,roco,motor vehicle parts
Otokar Otomotiv ve Savunma Sanayi A.S. ,otkar.e,turkey,xist,commercial vehicles
Otonomo Technologies Ltd. ,otmo,united states,xnas,motor vehicle parts
Otonomo Technologies Ltd. Wt ,otmow,united states,xnas,None
Otonomy Inc. ,otic,united states,xnas,biotechnology
Otovo A/S ,otovo,norway,xosl,renewable energy generation
OTP Bank Nyrt. ,otp,hungary,xbud,banking
