name,symbol,country,exchange,sector
P & F Industries Inc. Cl A ,pfin,united states,xnas,housewares
P&H Tech Co. Ltd. ,239890,south korea,xkrx,chemicals
P&K Skin Research Center Co. Ltd. ,347740,south korea,xkrx,pharmaceuticals
P.A. Resources Bhd ,7225,malaysia,xkls,aluminum
P.A.M. Transportation Services Inc. ,ptsi,united states,xnas,trucking
P.B. Group Ltd. ,8331,hong kong,xhkg,general mining
P.B.M. Polytex Ltd. ,514087,india,xbom,clothing
P.C.B. Technologies Ltd. ,pcbt,israel,xtae,industrial electronics
P.G. Foils Ltd. ,526747,india,xbom,aluminum
P.G. Nikas S.A. ,nikas,greece,xath,food products
P.I.E. Industrial Bhd ,7095,malaysia,xkls,industrial electronics
P.M. Telelinnks Ltd. ,513403,india,xbom,iron/steel
P.O.L.I.C.Y. Ltd. ,policy,mauritius,xmau,finance companies
P.S. Mitsubishi Construction Co. Ltd. ,1871,japan,xtks,construction
P10 Inc. ,px,united states,xnys,investment advisors
P2 Gold Inc. ,ctimf,united states,ootc,precious metals
P2 Gold Inc. ,pgld,canada,xtsx,precious metals
P2 Solar Inc. ,ptos,united states,ootc,construction
P3 Health Partners Inc. ,piii,united states,xnas,healthcare provision
P3 Health Partners Inc. Wt ,piiiw,united states,xnas,None
P5 Capital Holdings Ltd. ,5ai,singapore,xses,industrial electronics
PA Co. Ltd. ,4766,japan,xtks,employment/training services
PA Nova S.A. ,nva,poland,xwar,construction
Pa Shun International Holdings Ltd. ,574,hong kong,xhkg,drug retail
Pabrik Kertas Tjiwi Kimia ,tkim,indonesia,xidx,paper/pulp
Paccar Inc. ,0ket,united kingdom,xlon,commercial vehicles
Paccar Inc. ,pcar,united states,xnas,commercial vehicles
Pace (Pakistan) Ltd. ,pace,pakistan,xkar,real estate developers
Pacgold Ltd. ,pgo,australia,xasx,gold
Pacheli Industrial Finance Ltd. ,523862,india,xbom,finance companies
Pacific & Orient Bhd ,6009,malaysia,xkls,non-life insurance
Pacific Alliance Bank ,pfbn,united states,ootc,banking
Pacific American Holdings Ltd. ,pak,australia,xasx,coal
Pacific Basin Shipping Ltd. ,pcfbf,united states,ootc,water transport/shipping
Pacific Basin Shipping Ltd. ,2343,hong kong,xhkg,water transport/shipping
Pacific Basin Shipping Ltd. ADR ,pcfby,united states,ootc,water transport/shipping
Pacific Bauxite Ltd. ,pbx,australia,xasx,iron/steel
Pacific Bay Minerals Ltd. ,pbm,canada,xtsx,gemstones
Pacific Biosciences of California Inc. ,pacb,united states,xnas,biotechnology
Pacific Booker Minerals Inc. ,bkm,canada,xtsx,non-ferrous metals
Pacific Booker Minerals Inc. ,pbmlf,united states,ootc,non-ferrous metals
Pacific Century Premium Developments Ltd. ,pcpdf,united states,ootc,real estate developers
Pacific Century Premium Developments Ltd. ,432,hong kong,xhkg,real estate developers
Pacific Century Regional Developments Ltd. ,p15,singapore,xses,diversified holding companies
Pacific Coast Oil Trust ,roytl,united states,ootc,oil extraction
Pacific Conquest Holdings Inc. ,pchk,united states,ootc,general mining
Pacific Construction Co. Ltd. ,2506,taiwan,xtai,construction
Pacific Current Group Ltd. ,pac,australia,xasx,investment advisors
Pacific Current Group Ltd. ,tsruf,united states,ootc,investment advisors
Pacific Denims Ltd. ,pdl,bangladesh,xdha,clothing
Pacific Edge Ltd. ,peb,new zealand,xnze,biotechnology
Pacific Edge Ltd. ,peb,australia,xasx,biotechnology
Pacific Empire Minerals Corp. ,pemc,canada,xtsx,non-ferrous metals
Pacific Financial Corp. ,pflc,united states,ootc,banking
Pacific Gas & Electric Co. 4.36% Cum. Redeem. Pfd. ,pcg.pri,united states,xase,electric utilities
Pacific Gas & Electric Co. 4.5% Cum. Redeem. Pfd. ,pcg.prh,united states,xase,electric utilities
Pacific Gas & Electric Co. 4.80% Cum. Redeem. Pfd. ,pcg.prg,united states,xase,electric utilities
Pacific Gas & Electric Co. 5% Cum. Redeem. Pfd. ,pcg.pre,united states,xase,electric utilities
Pacific Gas & Electric Co. 5% Cum. Redeem. Pfd. ,pcg.prd,united states,xase,electric utilities
Pacific Gas & Electric Co. 5% Pfd. ,pcg.prc,united states,xase,electric utilities
Pacific Gas & Electric Co. 5.5% Cum. Pfd. ,pcg.prb,united states,xase,electric utilities
Pacific Green Technologies Inc. ,pgtk,united states,ootc,industrial electronics
Pacific Health Care Organization Inc. ,pfho,united states,ootc,life insurance
Pacific Hospital Supply Co. Ltd. ,4126,taiwan,roco,medical equipment/supplies
Pacific Image Electronics Co. Ltd. ,6228,taiwan,roco,computers/consumer electronics
Pacific Imperial Mines Inc. ,ppm,canada,xtsx,gold
Pacific Industrial Co. Ltd. ,7250,japan,xtks,motor vehicle parts
Pacific Industries Ltd. ,523483,india,xbom,building materials/products
Pacific Legend Group Ltd. ,8547,hong kong,xhkg,home goods retail
Pacific Metals Co. Ltd. ,5541,japan,xtks,iron/steel
Pacific Millennium Packaging Group Corp. ,1820,hong kong,xhkg,containers/packaging
Pacific Net Co. Ltd. ,3021,japan,xtks,specialty retail
Pacific Nickel Mines Ltd. ,pnm,australia,xasx,non-ferrous metals
Pacific Online Ltd. ,543,hong kong,xhkg,advertising/marketing/public relations
Pacific Online Systems Corp. ,loto,philippines,xphs,gambling industries
Pacific Paradym Energy Inc. ,ppe.h,canada,xtsx,oil extraction
Pacific Pipe PCL ,pap,thailand,xbkk,iron/steel
Pacific Premier Bancorp Inc. ,ppbi,united states,xnas,banking
Pacific Ridge Exploration Ltd. ,pex,canada,xtsx,general mining
Pacific Ridge Exploration Ltd. ,pexzf,united states,ootc,general mining
Pacific Securities Co. Ltd. ,601099,china,xshg,securities
Pacific Shuanglin Bio-Pharmacy Co. Ltd. A ,000403,china,xshe,pharmaceuticals
Pacific Smiles Group Ltd. ,psq,australia,xasx,healthcare provision
Pacific Software Inc. ,pfsf,united states,ootc,shell companies
Pacific Strategic Financial ,apic,indonesia,xidx,securities
Pacific Systems Corp. ,3847,japan,xjas,computer services
Pacific Textiles Holdings Ltd. ,1382,hong kong,xhkg,clothing
Pacific Valley Bancorp ,pvbk,united states,ootc,banking
Pacific Vegas Global Strategies Inc. ,pveg,united states,ootc,shell companies
Pacific Ventures Group Inc. ,pacv,united states,ootc,food products
Pacific West Bank ,pwbo,united states,ootc,banking
Pacifica Holdings Inc. ,pa,philippines,xphs,oil extraction
Pacifico Acquisition Corp. ,pafo,united states,xnas,shell companies
Pacifico Acquisition Corp. Rt ,pafor,united states,xnas,shell companies
Pacifico Renewables Yield AG ,pry,united states,xetr,renewable energy generation
Pacificorp. (Ore) 6% Pfd. ,ppwlo,united states,ootc,electric utilities
Pacificorp. (Ore) 7% Pfd. ,ppwlm,united states,ootc,electric utilities
Pacira BioSciences Inc. ,pcrx,united states,xnas,pharmaceuticals
Pack Corp. ,3950,japan,xtks,containers/packaging
Packages Ltd. ,pkgs,pakistan,xkar,containers/packaging
Packaging Corp. of America ,0kez,united kingdom,xlon,containers/packaging
Packaging Corp. of America ,pkg,united states,xnys,containers/packaging
PacRay International Holdings Ltd. ,1010,hong kong,xhkg,semiconductors
Pact Group Holdings Ltd. ,pgh,australia,xasx,containers/packaging
Pact Industries Ltd. ,538963,india,xbom,iron/steel
Pacte Novation S.A. ,mlpac,france,xpar,software
