name,symbol,country,exchange,sector
QMC Quantum Minerals Corp. ,qmc,canada,xtsx,non-ferrous metals
QMines Ltd. ,qml,australia,xasx,general mining
QNB Corp. ,qnbc,united states,ootc,banking
QNB Finans Finansal Kiralama A.S. ,qnbfl.e,turkey,xist,general services
QNB Finansbank A.S. ,qnbfb.e,turkey,xist,banking
QNB Metals Inc. ,tim,canada,xcnq,general mining
Qol Holdings Co. Ltd. ,3034,japan,xtks,drug retail
Qorvo Inc. ,0ksj,united kingdom,xlon,semiconductors
Qorvo Inc. ,qrvo,united states,xnas,semiconductors
QPL International Holdings Ltd. ,243,hong kong,xhkg,semiconductors
QPR Software Oyj ,qpr1v,finland,xhel,software
QRF CVA ,qrf,belgium,xbru,retail reits
QRS Music Technologies Inc. ,qrsm,united states,ootc,leisure goods
QS Energy Inc. ,qsep,united states,ootc,oil & gas products/services
QSAM Biosciences Inc. ,qsam,united states,ootc,nondurable household products
QSI Co. Ltd. ,066310,south korea,xkrx,precision products
QST International Corp. ,8349,taiwan,roco,industrial products
QT Group Oyj ,0rg5,united kingdom,xlon,software
QT Group Oyj ,qtcom,finland,xhel,software
QT Group Oyj ,qtgpf,united states,ootc,software
QT Vascular Ltd. ,5i0,singapore,xses,medical equipment/supplies
QTC Energy PCL ,qtc,thailand,xbkk,industrial electronics
Qtone Education Group (Guangdong) Co. Ltd. A ,300359,china,xshe,consumer services
Qua Granite Hayal Yapi ve Urunleri Sanayi Ticaret A.S. ,quagr.e,turkey,xist,building materials/products
Quad M Solutions Inc. ,mmmm,united states,ootc,diversified business services
Quad/Graphics Inc. ,quad,united states,xnys,printing
Quadient S.A. ,0nq5,united kingdom,xlon,software
Quadient S.A. ,qdt,france,xpar,software
Quadient S.A. ADR ,npacy,united states,ootc,software
Quadlogic Controls Corp. ,qdlc,united states,ootc,industrial electronics
Quadpack Industries S.A. ,alqp,france,xpar,containers/packaging
Quadrant Televentures Ltd. ,511116,india,xbom,wired telecommunications services
Quadra-Power Generation ,tgkd,russia,misx,electric utilities
Quadra-Power Generation Pfd. ,tgkdp,russia,misx,electric utilities
Quadrise Fuels International PLC ,qfi,united kingdom,xlon,alternative fuels
Quadro Resources Ltd. ,qdrof,united states,ootc,gold
Quadro Resources Ltd. ,qro,canada,xtsx,gold
Quaint Oak Bancorp Inc. ,qnto,united states,ootc,banking
Quaker Houghton ,kwr,united states,xnys,chemicals
QuakeSafe Technologies Co. Ltd. A ,300767,china,xshe,building materials/products
Qualcomm Inc. ,qcom,mexico,xmex,semiconductors
Qualcomm Inc. ,qci,united states,xetr,semiconductors
Qualcomm Inc. ,0qz3,united kingdom,xlon,semiconductors
Qualcomm Inc. ,qcom,united states,xnas,semiconductors
Qualicorp Consultoria e Corretora de Seguros S.A. Ord ,qual3,brazil,bvmf,life insurance
Qualigen Therapeutics Inc. ,qlgn,united states,xnas,pharmaceuticals
Qualipoly Chemical Corp. ,4722,taiwan,xtai,chemicals
Qualis Innovations Inc. ,qlis,united states,ootc,networking
Quali-Smart Holdings Ltd. ,1348,hong kong,xhkg,toys & games
Qualitas Controladora S.A.B. de C.V. ,q,mexico,xmex,non-life insurance
Qualitas Ltd. ,qal,australia,xasx,real estate developers
QualiTau Ltd. ,qltu,israel,xtae,precision products
Qualitech PCL ,qlt,thailand,xbkk,technical services
Quality & Reliability S.A. ,qual,greece,xath,software
Quality Beverages Ltd. ,qbl,mauritius,xmau,non-alcoholic beverages/drinks
Quality Concrete Holdings Bhd ,7544,malaysia,xkls,building materials/products
Quality Construction Products PCL ,q.con,thailand,xbkk,building materials/products
Quality Houses PCL ,qh,thailand,xbkk,residential building construction
Quality Online Education Group Inc. ,qoeg,united states,ootc,diversified business services
Quality Ro Industries Ltd. ,543460,india,xbom,housewares
Qualstar Corp. ,qbak,united states,ootc,computers/consumer electronics
QualTek Services Inc. ,qtek,united states,xnas,shell companies
QualTek Services Inc. Wt ,qtekw,united states,xnas,None
Qualtrics International Inc. ,xm,united states,xnas,software
Qualys Inc. ,qlys,united states,xnas,software
Quanergy Systems Inc. ,qngy,united states,xnys,motor vehicle parts
Quanergy Systems Inc. Wt ,qngy.wt,united states,xnys,None
Quanex Building Products Corp. ,nx,united states,xnys,building materials/products
Quang Binh Import & Export JSC ,qbs,vietnam,xstc,chemicals
Quang Nam Transportation Construction JSC ,qtc,vietnam,hstc,construction
