name,symbol,country,exchange,sector
Royal Bank of Canada 1st Pfd. Series BF ,ry.prm,canada,xtse,major international banks
Royal Bank of Canada 4.9% Non-Cum. 1st Redeem. Pfd. Series BI ,ry.pro,canada,xtse,major international banks
Royal Bank of Canada Dep. Pfd. (Rep. 1/40th interest in share of 6.750% Fixed Rate/Floating Rate Non-cum. First Pfd. Series C-2) ,ry.prt,united states,xnys,major international banks
Royal Bank of Canada Non-Cum. 1st Redeem. Pfd. Series BD ,ry.prj,canada,xtse,major international banks
Royal Bank of Canada Non-Cum. 1st Redeem. Pfd. Series BH ,ry.prn,canada,xtse,major international banks
Royal Bank of Canada Non-Cum. Conv. Pfd. Series BO ,ry.prs,canada,xtse,major international banks
Royal Bank of Canada Non-Cum. First Pfd. Series AZ ,ry.prz,canada,xtse,major international banks
Royal Bank of Canada Non-Cum. Pfd. Series BB ,ry.prh,canada,xtse,major international banks
Royal Caribbean Group ,0i1w,united kingdom,xlon,tourism
Royal Caribbean Group ,rcl,mexico,xmex,tourism
Royal Caribbean Group ,rcl,united states,xnys,tourism
Royal Catering Group Holdings Co. Ltd. ,8300,hong kong,xhkg,restaurants
Royal Century Resources Holdings Ltd. ,8125,hong kong,xhkg,general services
Royal Ceramics Lanka PLC ,rcl.n0000,sri lanka,xcol,building materials/products
Royal Cushion Vinyl Products Ltd. ,526193,india,xbom,building materials/products
Royal Exchange PLC ,royalex,nigeria,xnsa,full-line insurance
Royal Fox Gold Inc. ,hbexf,united states,ootc,non-ferrous metals
Royal Fox Gold Inc. ,foxg,canada,xtsx,non-ferrous metals
Royal Gold Inc. ,0kxs,united kingdom,xlon,gold
Royal Gold Inc. ,rgld,united states,xnas,gold
Royal Group Co. Ltd. A ,002329,china,xshe,food products
Royal Hali Iplik Tekstil Mobilya Sanayi ve Ticaret A.S. ,royal.e,turkey,xist,housewares
Royal Helium Ltd. ,rhc,canada,xtsx,chemicals
Royal Helium Ltd. ,rhccf,united states,ootc,chemicals
Royal Helium Ltd. Wt ,rhc.wt,canada,xtsx,None
Royal Holdings Co. Ltd. ,8179,japan,xtks,restaurants
Royal Hotel Ltd. ,9713,japan,xtks,hotels
Royal India Corp. Ltd. ,512047,india,xbom,wholesalers
Royal KPN N.V. ,kpn,netherlands,xams,wired telecommunications services
Royal KPN N.V. ,kkpnf,united states,ootc,wired telecommunications services
Royal KPN N.V. ,kpn,germany,xfra,wired telecommunications services
Royal KPN N.V. ,kpnn,mexico,xmex,wired telecommunications services
Royal KPN N.V. ,0o8f,united kingdom,xlon,wired telecommunications services
Royal KPN N.V. ADR ,kkpny,united states,ootc,wired telecommunications services
Royal Mail PLC ,rmg,united kingdom,xlon,air freight
Royal Mail PLC ,roymf,united states,ootc,air freight
Royal Mail PLC ADR ,roymy,united states,ootc,air freight
Royal Orchid Hotel (Thailand) PCL ,roh,thailand,xbkk,hotels
Royal Orchid Hotels Ltd. ,532699,india,xbom,hotels
Royal Palms Beach Hotels PLC ,rpbh.n0000,sri lanka,xcol,hotels
Royal Prima ,prim,indonesia,xidx,healthcare provision
Royal Road Minerals Ltd. ,ryr,canada,xtsx,gold
Royal Road Minerals Ltd. ,rrdmf,united states,ootc,gold
Royal UNIBREW A/S ,0r6z,united kingdom,xlon,alcoholic beverages/drinks
Royal UNIBREW A/S ,rbrew,denmark,xcse,alcoholic beverages/drinks
Royal Wins Corp. ,skll,canada,xcnq,toys & games
Royale Energy Inc. ,royl,united states,ootc,oil extraction
Royale Home Holdings Ltd. ,1198,hong kong,xhkg,furniture
Royale Manor Hotels & Industries Ltd. ,526640,india,xbom,hotels
Royalindo Investa Wijaya ,indo,indonesia,xidx,real estate developers
RoyalTek Co. Ltd. ,3306,taiwan,roco,networking
Royalty Inversiones S.A. ,s2571,spain,xmad,mutual & other funds
Royalty Pharma PLC ,rprx,united states,xnas,pharmaceuticals
RPA Holdings Inc. ,6572,japan,xtks,diversified holding companies
RPC Inc. ,res,united states,xnys,oil & gas products/services
RPCG PCL ,rpc,thailand,xbkk,specialty retail
RPG Life Sciences Ltd. ,532983,india,xbom,pharmaceuticals
RPM Automotive Group Ltd. ,rpm,australia,xasx,general services
RPM International Inc. ,rpm,united states,xnys,building materials/products
RPMGlobal Holdings Ltd. ,rul,australia,xasx,software
RPP Infra Projects Ltd. ,533284,india,xbom,construction
RPS Group PLC ,rpsgf,united states,ootc,environment/waste management
RPS Group PLC ,rps,united kingdom,xlon,environment/waste management
RPSG Ventures Ltd. ,542333,india,xbom,investment advisors
RPT Realty ,rpt,united states,xnys,retail reits
RPT Realty 7.25% Perp. Conv. Pfd. Series D ,rpt.prd,united states,xnys,retail reits
RR MetalMakers India Ltd. ,531667,india,xbom,chemicals
Rreto Magnum SICAV S.A. ,s2962,spain,xmad,mutual & other funds
RRIL Ltd. ,531307,india,xbom,clothing
Rritual Superfoods Inc. ,rsf,canada,xcnq,food products
Rritual Superfoods Inc. ,rrsff,united states,ootc,food products
Rritual Superfoods Inc. Wt ,rsf.wt,canada,xcnq,None
RS Automation Co. Ltd. ,140670,south korea,xkrx,precision products
RS Group PLC ,rs1,united kingdom,xlon,wholesalers
RS Group PLC ,ecn,germany,xfra,wholesalers
RS PCL ,rs,thailand,xbkk,motion picture/sound recording
RS Software (India) Ltd. ,517447,india,xbom,software
RS Technologies Co. Ltd. ,3445,japan,xtks,semiconductors
RS2 Software PLC ,rs2,malta,xmal,software
RSA 2000 Investment S.A. ,s2579,spain,xmad,mutual & other funds
RSA Insurance Group Ltd. 7.375% Cum. Irr. Pfd. ,rsab,united kingdom,xlon,full-line insurance
RSC International Ltd. ,530179,india,xbom,clothing
RSD Finance Ltd. ,539875,india,xbom,finance companies
Rsupport Co. Ltd. ,131370,south korea,xkrx,software
RSWM Ltd. ,500350,india,xbom,clothing
RT Minerals Corp. ,rtm,canada,xtsx,gold
RTA Laboratuvarlari Biyolojik Urunler Ilac ve Makine Sanayi Ticaret A.S. ,rtalb.e,turkey,xist,medical equipment/supplies
RTC Group PLC ,rtc,united kingdom,xlon,employment/training services
RTCL Ltd. ,531552,india,xbom,tobacco
RTCore Inc. ,rtme,united states,ootc,software
RTG Mining Inc. ,rtg,canada,xtse,gold
R-Three Technologies Inc. ,rrrt,united states,ootc,building materials/products
RTL Group S.A. ,rrtl,united states,xetr,broadcasting
RTL Group S.A. ,0mnc,united kingdom,xlon,broadcasting
RTL Group S.A. ADR ,rglxy,united states,ootc,broadcasting
RTS Power Corp. Ltd. ,531215,india,xbom,industrial electronics
RTX A/S ,rtx,denmark,xcse,networking
RTX A/S ,rte,germany,xfra,networking
Rua Bioscience Ltd. ,rua,new zealand,xnze,pharmaceuticals
RUA Life Sciences PLC ,rua,united kingdom,xlon,medical equipment/supplies
Rubberex Corp. (M) Bhd ,7803,malaysia,xkls,industrial products
Rubean AG ,r1b,germany,xfra,software
Rubellite Energy Inc. ,rby,canada,xtse,oil extraction
Rubellite Energy Inc. ,rublf,united states,ootc,oil extraction
Rubex International for Plastic & Acrylic Manufacturing ,rubx,egypt,nilx,building materials/products
Rubfila International Ltd. ,500367,india,xbom,industrial products
Rubicon Inversiones S.A. ,s2580,spain,xmad,mutual & other funds
Rubicon Organics Inc. ,romjf,united states,ootc,farming
Rubicon Organics Inc. ,romj,canada,xtsx,farming
Rubicon Organics Inc. Wt ,romj.wt,canada,xtsx,None
Rubicon Technology Inc. ,rbcn,united states,xnas,semiconductors
Rubicon Water Ltd. ,rwl,australia,xasx,building materials/products
Rubis SCA ,0rts,united kingdom,xlon,gas utilities
Rubis SCA ,rui,france,xpar,gas utilities
Rubis SCA ADR ,rbsfy,united states,ootc,gas utilities
Rubius Therapeutics Inc. ,ruby,united states,xnas,biotechnology
Rubix Resources Ltd. ,rb6,australia,xasx,general mining
Ruby Mills Ltd. ,503169,india,xbom,None
Ruby Tech Corp. ,8048,taiwan,roco,networking
Ruby Textile Mills Ltd. ,ruby,pakistan,xkar,clothing
Rucandio Inversiones S.A. ,s2245,spain,xmad,mutual & other funds
Ruch Chorzow S.A. ,rcw,poland,xwar,recreational services
Ruchi Infrastructure Ltd. ,509020,india,xbom,None
Ruchi Soya Industries Ltd. ,500368,india,xbom,food products
Ruchira Papers Ltd. ,532785,india,xbom,paper/pulp
Rudra Global Infra Products Ltd. ,539226,india,xbom,iron/steel
Ruentex Development Co. Ltd. ,9945,taiwan,xtai,construction
Ruentex Engineering & Construction Co. Ltd. ,2597,taiwan,xtai,construction
Ruentex Industries Ltd. ,2915,taiwan,xtai,clothing
Ruentex Materials Co. Ltd. ,8463,taiwan,xtai,building materials/products
Rugby Mining Ltd. ,rug,canada,xtsx,mining support services
Rugby Mining Ltd. ,rbmnf,united states,ootc,mining support services
