name,symbol,country,exchange,sector
UK Commercial Property REIT Ltd. ,ukcm,united kingdom,xlon,closed-end funds
UK Oil & Gas PLC ,ukog,united kingdom,xlon,oil extraction
Ukrproduct Group Ltd. ,ukr,united kingdom,xlon,food products
Ulaslar Turizm Yatirimlari ve Dayanikli Tuketim Mallari Ticaret Pazarlama A.S. ,ulas.e,turkey,xist,hotels
Ulferts International Ltd. ,1711,hong kong,xhkg,home goods retail
Ulima Nitra ,uniq,indonesia,xidx,mining support services
Ulisse Biomed S.p.A. ,ubm,italy,xmil,pharmaceuticals
Ulker Biskuvi Sanayi A.S. ,ulker.e,turkey,xist,food products
Ulker Biskuvi Sanayi A.S. ADR ,uelky,united states,ootc,food products
ULMA Construccion Polska S.A. ,ulm,poland,xwar,building materials/products
ULS Group Inc. ,3798,japan,xjas,computer services
Ulta Beauty Inc. ,0lib,united kingdom,xlon,specialty retail
Ulta Beauty Inc. ,ulta,united states,xnas,specialty retail
Ultima United Ltd. ,uul,australia,xasx,real estate developers
Ultimate Games S.A. ,ulg,poland,xwar,toys & games
Ultimate Sports Inc. ,usps,united states,ootc,sports goods
Ultimovacs ASA ,ulti,norway,xosl,biotechnology
Ultimovacs ASA NOK ,ulti.o,sweden,xsto,biotechnology
Ultra Brands Ltd. ,fllld,united states,ootc,farming
Ultra Brands Ltd. ,ulta,canada,xcnq,farming
Ultra Chip Inc. ,3141,taiwan,roco,semiconductors
Ultra Clean Holdings Inc. ,uctt,united states,xnas,precision products
Ultra Electronics Holdings PLC ,ule,united kingdom,xlon,industrial electronics
Ultra Electronics Holdings PLC ADR ,uehpy,united states,ootc,industrial electronics
Ultra Lithium Inc. ,ult,canada,xtsx,gold
Ultra Lithium Inc. ,ultxf,united states,ootc,gold
Ultra Wiring Connectivity System Ltd. 144A ,uwcsl,india,xnse,motor vehicle parts
Ultracab (India) Ltd. ,538706,india,xbom,industrial electronics
Ultrack Systems Inc. ,mjlb,united states,ootc,networking
Ultragenyx Pharmaceutical Inc. ,rare,united states,xnas,pharmaceuticals
Ultrajaya Milk Industry ,ultj,indonesia,xidx,food products
Ultralife Corp. ,ulbi,united states,xnas,industrial electronics
Ultramarine & Pigments Ltd. ,506685,india,xbom,chemicals
