name,symbol,country,exchange,sector
V Group Inc. ,vgid,united states,ootc,non-alcoholic beverages/drinks
V Technology Co. Ltd. ,7717,japan,xtks,precision products
V Twin Capital Invest S.A. ,s1989,spain,xmad,mutual & other funds
V.B. Desai Financial Services Ltd. ,511110,india,xbom,investment advisors
V.B. Industries Ltd. ,539123,india,xbom,finance companies
V.I.P. Industries Ltd. ,507880,india,xbom,None
V.S. International Group Ltd. ,1002,hong kong,xhkg,audio/video equipment
V2 Retail Ltd. ,532867,india,xbom,clothing retail
V2Y Corp. Ltd. ,v2y,singapore,xses,internet/online
VA Tech Wabag Ltd. ,533269,india,xbom,construction
Vaalco Energy Inc. ,egy,united states,xnys,oil extraction
Vaarad Ventures Ltd. ,532320,india,xbom,investment advisors
VAA-Vista Alegre Atlantis SGPS S/A ,vaf,portugal,xlis,housewares
Vacasa Inc. ,vcsa,united states,xnas,hotels
Vaccinex Inc. ,vcnx,united states,xnas,biotechnology
Vaccitech PLC ADR ,vacc,united states,xnas,biotechnology
Vactronics Technologies Inc. ,6742,taiwan,roco,industrial electronics
Vadilal Enterprises Ltd. ,519152,india,xbom,food products
Vadilal Industries Ltd. ,519156,india,xbom,food products
Vadivarhe Speciality Chemicals Ltd. ,vscl,india,xnse,chemicals
Vado Corp. ,vadp,united states,ootc,clothing
Vadsbo SwitchTech Group AB ,vads,sweden,xsat,semiconductors
Vaghani Techno Build Ltd. ,531676,india,xbom,real estate developers
Vahanna Tech Edge Acquisition I Corp. ,vhnau,united states,xnas,shell companies
Vahanna Tech Edge Acquisition I Corp. Cl A ,vhna,united states,xnas,shell companies
Vahanna Tech Edge Acquisition I Corp. Wt ,vhnaw,united states,xnas,None
Vaibhav Global Ltd. ,532156,india,xbom,clothing retail
Vail Resorts Inc. ,mtn,united states,xnys,hotels
Vaingu Inversiones S.A. ,s1398,spain,xmad,mutual & other funds
Vaisala Oyj Series A ,vaias,finland,xhel,precision products
Vaisala Oyj Series A ,0geg,united kingdom,xlon,precision products
Vaishali Pharma Ltd. ,vaishali,india,xnse,pharmaceuticals
VAIV Co. Inc. ,301300,south korea,xkrx,software
Vakif Finansal Kiralama A.S. ,vakfn.e,turkey,xist,general services
Vakif Gayrimenkul Yatirim Ortakligi A.S. ,vkgyo.e,turkey,xist,diversified reits
Vakif Menkul Kiymet Yatirim Ortakligi A.S. ,vkfyo.e,turkey,xist,closed-end funds
Vakko Tekstil ve Ticaret A.S. ,vakko.e,turkey,xist,clothing
Vakomtek S.A. ,vkt,poland,xwar,computers/consumer electronics
Vakrangee Softwares Ltd. ,511431,india,xbom,None
Vaksons Automobiles Ltd. ,539402,india,xbom,specialty retail
Valamar Riviera d.d. ,rivp,croatia,xzag,hotels
Valaris Ltd. ,val,united states,xnys,oil & gas products/services
Valaris Ltd. Wt ,val.wt,united states,xnys,None
Valartis Group AG ,vlrt,switzerland,xswx,finance companies
Valbiotis S.A. ,alval,france,xpar,biotechnology
Valcorona Inversiones S.A. ,s2947,spain,xmad,mutual & other funds
Valdarbi Invest S.A. ,s2942,spain,xmad,mutual & other funds
Valdeolea de Inversiones S.A. ,s2951,spain,xmad,mutual & other funds
Valdillana de Inversiones S.A. ,s2956,spain,xmad,mutual & other funds
Val-d'Or Mining Corp. ,vdomf,united states,ootc,mining support services
Val-d'Or Mining Corp. ,vzz,canada,xtsx,mining support services
Vale Indonesia ,xt3b,germany,xfra,non-ferrous metals
Vale Indonesia ,inco,indonesia,xidx,non-ferrous metals
Vale Indonesia ,ptndf,united states,ootc,non-ferrous metals
Vale Indonesia ADR ,ptndy,united states,ootc,non-ferrous metals
Vale S.A. ADR ,vale,united states,xnys,iron/steel
Vale S.A. ADR ,cvlb,germany,xfra,iron/steel
Vale S.A. Ord ,xvalo,spain,mabx,iron/steel
Vale S.A. Ord ,vale3,brazil,bvmf,iron/steel
Valencia Capital Inc. ,val.p,canada,xtsx,shell companies
Valens Co. Inc. ,vlns,united states,xnas,biotechnology
Valens Co. Inc. ,vlns,canada,xtse,biotechnology
Valens Semiconductor Ltd. ,vln,united states,xnys,semiconductors
Valens Semiconductor Ltd. Wt ,vln.wt,united states,xnys,None
Valeo Pharma Inc. ,vphif,united states,ootc,pharmaceuticals
Valeo Pharma Inc. ,vph,canada,xtse,pharmaceuticals
Valeo Pharma Inc. Wt ,vph.wt,canada,xtse,None
Valeo S.A. ,fr,austria,xwbo,motor vehicle parts
Valeo S.A. ,0rh5,united kingdom,xlon,motor vehicle parts
Valeo S.A. ,vleef,united states,ootc,motor vehicle parts
Valeo SE ,fr,france,xpar,motor vehicle parts
Valeo SE ADR ,vleey,united states,ootc,motor vehicle parts
Valero Energy Corp. ,vlo,united states,xnys,oil & gas products/services
Valero Energy Corp. ,0lk6,united kingdom,xlon,oil & gas products/services
Valero Energy Corp. ,vlo,mexico,xmex,oil & gas products/services
Valeura Energy Inc. ,vle,canada,xtse,oil extraction
Valeura Energy Inc. ,pnwrf,united states,ootc,oil extraction
Valhi Inc. ,vhi,united states,xnys,chemicals
Valiant Co. Ltd. A ,002643,china,xshe,chemicals
Valiant Communications Ltd. ,526775,india,xbom,networking
Valiant Eagle Inc. ,psru,united states,ootc,diversified business services
Valiant Holding AG ,0qpu,united kingdom,xlon,banking
Valiant Holding AG ,vatn,switzerland,xswx,banking
Valiant Organics Ltd. ,540145,india,xbom,chemicals
Valid Solucoes S/A Ord ,vlid3,brazil,bvmf,consumer finance
ValiRx PLC ,val,united kingdom,xlon,biotechnology
Vallabh Steels Ltd. ,513397,india,xbom,iron/steel
Valley National Bancorp ,vly,united states,xnas,banking
Valley National Bancorp 5.5% Pfd. Series B ,vlypo,united states,xnas,banking
Valley National Bancorp 6.25% Perp. Pfd. Series A ,vlypp,united states,xnas,banking
Vallianz Holdings Ltd. ,wpc,singapore,xses,water transport/shipping
Vallibel Finance PLC ,vfin.n0000,sri lanka,xcol,finance companies
Vallibel One PLC ,vone.n0000,sri lanka,xcol,diversified holding companies
Vallibel Power Erathna PLC ,vpel.n0000,sri lanka,xcol,renewable energy generation
Vallisoletana de Valores S.A. ,s2963,spain,xmad,mutual & other funds
Vallon Pharmaceuticals Inc. ,vlon,united states,xnas,biotechnology
Vallourec S.A. ,vacd,germany,xfra,iron/steel
Vallourec S.A. ,vk,france,xpar,iron/steel
Vallourec S.A. ,0nr2,united kingdom,xlon,iron/steel
Vallourec S.A. ,vlouf,united states,ootc,iron/steel
Vallourec S.A. ADR ,vlowy,united states,ootc,iron/steel
Valmet Corp. ,0qiw,united kingdom,xlon,paper/pulp
Valmet Corp. ,valmt,finland,xhel,paper/pulp
Valmet Corp. ADR ,vlmty,united states,ootc,paper/pulp
Valmie Resources Inc. ,vmri,united states,ootc,aerospace products/parts
Valmon Inversiones S.A. ,s2957,spain,xmad,mutual & other funds
Valmont Industries Inc. ,vmi,united states,xnys,building materials/products
Valneva SE ,ayj,united states,xetr,biotechnology
Valneva SE ,inrlf,united states,ootc,biotechnology
Valneva SE ,vla,france,xpar,biotechnology
Valneva SE ,vla,austria,xwbo,biotechnology
Valneva SE ,0ob3,united kingdom,xlon,biotechnology
Valneva SE ADR ,valn,united states,xnas,biotechnology
Valoe Oyj ,valoe,finland,xhel,precision products
Valoe Oyj ,0jqk,united kingdom,xlon,precision products
Valor Holdings Co. Ltd. ,9956,japan,xtks,food retail
Valor Latitude Acquisition Corp. ,vlatu,united states,xnas,shell companies
Valor Latitude Acquisition Corp. Cl A ,vlat,united states,xnas,shell companies
Valor Latitude Acquisition Corp. Wt ,vlatw,united states,xnas,None
Valor Resources Ltd. ,val,australia,xasx,non-ferrous metals
Valora Effekten Handel AG ,veh,germany,xfra,securities
Valora Holding AG ,0qle,united kingdom,xlon,mixed retailing
Valora Holding AG ,valn,switzerland,xswx,mixed retailing
ValOre Metals Corp. ,kvlqf,united states,ootc,non-ferrous metals
ValOre Metals Corp. ,vo,canada,xtsx,non-ferrous metals
Valorem Resources Inc. ,valu,canada,xcnq,general mining
Valores Simesa S.A. ,valsimesa,colombia,xbog,finance companies
Valparaiso Sporting Club S.A. ,sporting,chile,xsgo,recreational services
Valqua Ltd. ,7995,japan,xtks,chemicals
Valrrubio S.A. ,s2987,spain,xmad,mutual & other funds
Valsoia S.p.A. ,vls,italy,xmil,food products
Valson Industries Ltd. ,530459,india,xbom,clothing
Valterra Resource Corp. ,vrscf,united states,ootc,non-ferrous metals
Valterra Resource Corp. ,vqa,canada,xtsx,non-ferrous metals
Valtes Co. Ltd. ,4442,japan,xtks,software
Value Added Technology Co. Ltd. ,043150,south korea,xkrx,medical equipment/supplies
Value Capital One Ltd. ,valu,israel,xtae,construction
Value Convergence Holdings Ltd. ,821,hong kong,xhkg,securities
Value Exchange International Inc. ,veii,united states,ootc,computers/consumer electronics
Value Golf Inc. ,3931,japan,xtks,shell companies
Value Grupo Financiero S.A.B. de C.V. ,valuegfo,mexico,xmex,finance companies
Value HR Co. Ltd. ,6078,japan,xtks,computer services
Value Line Inc. ,valu,united states,xnas,publishing
Value Management & Research AG ,vmr1,germany,xfra,investment advisors
Value Partners Group Ltd. ,806,hong kong,xhkg,investment advisors
Value Tree Black S.A. ,s2435,spain,xmad,mutual & other funds
Value Valves Co. Ltd. ,4580,taiwan,roco,industrial products
Value8 N.V. ,value,netherlands,xams,investment advisors
Value8 N.V. Pfd. ,preva,netherlands,xams,investment advisors
ValueCommerce Co. Ltd. ,2491,japan,xtks,advertising/marketing/public relations
Vivara Participacoes S/A Ord ,viva3,brazil,bvmf,clothing retail
Vivendi SE ,viv,france,xpar,motion picture/sound recording
Vivendi SE ,0iif,united kingdom,xlon,motion picture/sound recording
Vivendi SE ,viv,italy,xmil,motion picture/sound recording
Vivendi SE ,vivef,united states,ootc,motion picture/sound recording
Vivendi SE ,vvu,united states,xetr,motion picture/sound recording
Vivendi SE ADR ,vivhy,united states,ootc,motion picture/sound recording
Viveon Health Acquisition Corp. ,vhaq,united states,xase,shell companies
Viveon Health Acquisition Corp. Rt ,vhaq.rt,united states,xase,shell companies
Viveon Health Acquisition Corp. Wt ,vhaq.wt,united states,xase,None
Viver Incorporadora e Construtora S.A. ,vivr3,brazil,bvmf,real estate developers
Vivero de Inversiones S.A. ,s3045,spain,xmad,mutual & other funds
Vivesto AB ,vive,sweden,xsto,pharmaceuticals
Vivesto AB ADR ,oasmy,united states,ootc,pharmaceuticals
Viveve Medical Inc. ,vive,united states,xnas,medical equipment/supplies
Vivid Games S.A. ,vvd,poland,xwar,toys & games
Vivid Global Industries Ltd. ,524576,india,xbom,chemicals
Vivid Seats Inc. ,seat,united states,xnas,specialty retail
Vivid Seats Inc. Wt ,seatw,united states,xnas,None
Vividthree Holdings Ltd. ,omk,singapore,xses,motion picture/sound recording
