name,symbol,country,exchange,sector
Woodbois Ltd. ,wbi,united kingdom,xlon,forestry & wood products
Woodbridge Ventures II Inc. ,wood.p,canada,xtsx,shell companies
Woodlandor Holdings Bhd ,7025,malaysia,xkls,building materials/products
Woodlands Financial Services Co. ,wdfn,united states,ootc,banking
Woodpecker.co. S.A. ,wpr,poland,xwar,software
Woodsboro Bank ,wobk,united states,ootc,banking
Woodside Petroleum Ltd. ,wpl,australia,xasx,major oil & gas
Woodside Petroleum Ltd. ,wopef,united states,ootc,major oil & gas
Woodside Petroleum Ltd. ADR ,wop,germany,xfra,major oil & gas
Woodside Petroleum Ltd. ADR ,wopey,united states,ootc,major oil & gas
Woodstock Holdings Inc. ,wsfl,united states,ootc,securities
Woodward Inc. ,wwd,united states,xnas,aerospace products/parts
WooGene B&G Co. Ltd. ,018620,south korea,xkrx,pharmaceuticals
Woojin I&S Co. Ltd. ,010400,south korea,xkrx,construction
Woojin Inc. ,105840,south korea,xkrx,precision products
Woojin Plaimm Co. Ltd. ,049800,south korea,xkrx,industrial machinery
Woojung Bio Inc. ,215380,south korea,xkrx,diversified business services
Wool Industry Tria Alfa S.A. ,aaak,greece,xath,clothing
Wool Industry Tria Alfa S.A. Pfd. ,aaap,greece,xath,clothing
Woolworths Group Ltd. ,wow,australia,xasx,food retail
Woolworths Holdings Ltd. ,whl,south africa,xjse,mixed retailing
Woolworths Holdings Ltd. ADR ,wlwhy,united states,ootc,mixed retailing
Woolworths Ltd. ,wolwf,united states,ootc,food retail
Woomera Mining Ltd. ,wml,australia,xasx,general mining
Woongjin Co. Ltd. ,016880,south korea,xkrx,diversified holding companies
Woongjin ThinkBig Co. Ltd. ,095720,south korea,xkrx,publishing
Wooree Bio Co. Ltd. ,082850,south korea,xkrx,semiconductors
Wooree E&L Co. Ltd. ,153490,south korea,xkrx,semiconductors
Wooree Lighting Co. Ltd. ,037400,south korea,xkrx,industrial electronics
Woori Financial Group Inc. ,316140,south korea,xkrx,banking
Woori Financial Group Inc. ADR ,wf,united states,xnys,banking
Woori Investment Bank ,010050,south korea,xkrx,investment advisors
Woori Technology Inc. ,032820,south korea,xkrx,precision products
Woori Technology Investment Co. Ltd. ,041190,south korea,xkrx,investment advisors
Woorim Power Train Solution Co. Ltd. ,101170,south korea,xkrx,mobile machinery
Woori-Net Inc. ,115440,south korea,xkrx,networking
Wooriro Co. Ltd. ,046970,south korea,xkrx,networking
Woorison F&G Co. Ltd. ,073560,south korea,xkrx,farming
Woory Industrial Co. Ltd. ,072470,south korea,xkrx,motor vehicle parts
Woory Industrial Co. Ltd. ,215360,south korea,xkrx,motor vehicle parts
Wooshin Systems Co. Ltd. ,017370,south korea,xkrx,motor vehicle parts
Woosu AMS Co. Ltd. ,066590,south korea,xkrx,motor vehicle parts
Woosung Feed Co. Ltd. ,006980,south korea,xkrx,food products
Woowon Development Co. Ltd. ,046940,south korea,xkrx,construction
Wooyang Co. Ltd. ,103840,south korea,xkrx,food products
Workday Inc. Cl A ,wday,united states,xnas,software
Workforce Holdings Ltd. ,wkf,south africa,xjse,employment/training services
Workhorse Group Inc. ,wkhs,united states,xnas,automobiles
Workiva Inc. Cl A ,wk,united states,xnys,internet/online
Workplace Technology Dividend Fund Un ,work.ut,canada,xtse,closed-end funds
Workpoint Entertainment PCL ,work,thailand,xbkk,motion picture/sound recording
Workspace Group PLC ,wkp,united kingdom,xlon,industrial/office reits
Worksport Ltd. ,wksp,united states,xnas,motor vehicle parts
Worksport Ltd. Wt ,wkspw,united states,xnas,None
World Acceptance Corp. ,wrld,united states,xnas,consumer finance
World Access Inc. ,waxs,united states,ootc,wired telecommunications services
World Class Extractions Inc. ,pump,canada,xcnq,pharmaceuticals
World Class Extractions Inc. ,wcexf,united states,ootc,pharmaceuticals
World Co. Ltd. ,3612,japan,xtks,clothing
World Copper Ltd. ,wcu,canada,xtsx,shell companies
World Copper Ltd. ,wcuff,united states,ootc,shell companies
World Financial Split Corp. 5.25% Pfd. ,wfs.pra,canada,xtse,mutual & other funds
World Flex PCL ,wfx,thailand,xbkk,industrial products
World Fuel Services Corp. ,int,united states,xnys,transportation services
World Health Energy Holdings Inc. ,when,united states,ootc,alternative fuels
World Holdings Co. Ltd. ,2429,japan,xtks,employment/training services
World Houseware Holdings Ltd. ,713,hong kong,xhkg,industrial products
World Known Mfg. (Cayman) Ltd. ,4581,taiwan,xtai,industrial products
World Of Wireless International Telecom Inc. ,wwii,united states,ootc,networking
World Poker Fund Holdings Inc. ,wpfh,united states,ootc,gambling industries
World Poker Store Inc. ,wpks,united states,ootc,gambling industries
World Precision Machinery Ltd. ,b49,singapore,xses,industrial machinery
World Quantum Growth Acquisition Corp. Cl A ,wqga,united states,xnys,shell companies
World Quantum Growth Acquisition Corp. Un ,wqga.ut,united states,xnys,shell companies
World Quantum Growth Acquisition Corp. Wt ,wqga.wt,united states,xnys,None
World Super Holdings Ltd. ,8612,hong kong,xhkg,general services
World Trade Center Moscow ,wtcm,russia,misx,hotels
World Trade Center Moscow Pfd. ,wtcmp,russia,misx,hotels
World Wireless Communications Inc. ,wwrl,united states,ootc,networking
World Wrestling Entertainment Inc. Cl A ,0m1g,united kingdom,xlon,recreational services
World Wrestling Entertainment Inc. Cl A ,wwe,united states,xnys,recreational services
WorldCall Telecom Ltd. ,wtl,pakistan,xkar,wired telecommunications services
Worldex Industry & Trading Co. Ltd. ,101160,south korea,xkrx,chemicals
Worldgate Global Logistics Ltd. ,8292,hong kong,xhkg,transportation services
Worldline ,0qvi,united kingdom,xlon,consumer finance
Worldline ,wo6,germany,xfra,consumer finance
Worldline ,wln,france,xpar,consumer finance
Worldline ,wwlnf,united states,ootc,consumer finance
Worldline ,wo6,united states,xetr,consumer finance
Worldline ADR ,wrdly,united states,ootc,consumer finance
World-Link Logistics (Asia) Holding Ltd. ,6083,hong kong,xhkg,transportation services
Worlds Inc. ,wddd,united states,ootc,internet/online
Worldwide Aluminium Ltd. ,526525,india,xbom,footwear
Worldwide Strategies Inc. ,wwsg,united states,ootc,shell companies
Worldwide Webb Acquisition Corp. ,wwacu,united states,xnas,shell companies
Worldwide Webb Acquisition Corp. Cl A ,wwac,united states,xnas,shell companies
Worldwide Webb Acquisition Corp. Wt ,wwacw,united states,xnas,None
Worley Ltd. ,wygpf,united states,ootc,oil & gas products/services
Worley Ltd. ,wor,australia,xasx,oil & gas products/services
Worley Ltd. ADR ,wygpy,united states,ootc,oil & gas products/services
Worth Investment & Trading Co. Ltd. ,538451,india,xbom,finance companies
Worth Peripherals Ltd. ,worth,india,xnse,containers/packaging
Worthington Industries Inc. ,wor,united states,xnys,iron/steel
