name,symbol,country,exchange,sector
X Financial ADR ,xyf,united states,xnys,consumer finance
X Spring Capital PCL ,xpg,thailand,xbkk,securities
X20 JSC ,x20,vietnam,hstc,clothing
X2M Connect Ltd. ,x2m,australia,xasx,emerging technologies
X4 Pharmaceuticals Inc. ,xfor,united states,xnas,biotechnology
X4 Pharmaceuticals Inc. Cl B Wt ,xfoww,united states,ootc,None
Xaar PLC ,xar,united kingdom,xlon,computers/consumer electronics
XAC Automation Corp. ,5490,taiwan,roco,computers/consumer electronics
Xaela Inversions S.A. ,s3065,spain,xmad,mutual & other funds
XAI Octagon Floating Rate & Alternative Income Term Trust 6.5% Pfd. ,xflt.pra,united states,xnys,closed-end funds
Xajoma Inversiones 2006 S.A. ,s3224,spain,xmad,mutual & other funds
Xali Gold Corp. ,xgc,canada,xtsx,gold
Xalles Holdings Inc. ,xall,united states,ootc,shell companies
Xanadu Mines Ltd. ,xam,australia,xasx,non-ferrous metals
Xanadu Mines Ltd. ,xanaf,united states,ootc,non-ferrous metals
Xanadu Mines Ltd. ,xam,canada,xtse,non-ferrous metals
Xander International Corp. ,6118,taiwan,roco,computers/consumer electronics
Xander Resources Inc. ,xnd,canada,xtsx,general mining
Xander Resources Inc. ,xndrf,united states,ootc,general mining
XANO Industri AB Series B ,xano.b,sweden,xsto,precision products
XANO Industri AB Series B ,0rq7,united kingdom,xlon,precision products
Xantippe Resources Ltd. ,xtc,australia,xasx,non-ferrous metals
Xavi Solutionnode AB ,xavi.b,sweden,xngm,industrial electronics
Xavi Technologies Corp. ,3447,taiwan,roco,networking
XAVIS Co. Ltd. ,254120,south korea,xkrx,precision products
XBiotech Inc. ,xbit,united states,xnas,biotechnology
Xbrane Biopharma AB ,xbrane,sweden,xsto,pharmaceuticals
XBS Pro-Log S.A. ,xbs,poland,xwar,transportation services
Xcel Brands Inc. ,xelb,united states,xnas,clothing
Xcel Energy Inc. ,xel,united states,xnas,electric utilities
Xcel Energy Inc. ,0m1r,united kingdom,xlon,electric utilities
Xcelerate Inc. ,xcrt,united states,ootc,healthcare provision
XcelMobility Inc. ,xcll,united states,ootc,software
Xcelplus International Inc. ,xlpi,united states,ootc,chemicals
Xchanging Solutions Ltd. ,532616,india,xbom,computer services
XCMG Construction Machinery Co. Ltd. ,000425,china,xshe,mobile machinery
XCPCNL Business Services Corp. ,xcpl,united states,ootc,diversified business services
Xcure Corp. ,070300,south korea,xkrx,precision products
XD Inc. ,2400,hong kong,xhkg,toys & games
XDC Industries (Shenzhen) Ltd. ,300615,china,xshe,networking
Xebec Adsorption Inc. ,xbc,canada,xtse,industrial machinery
Xebec Adsorption Inc. ,xebef,united states,ootc,industrial machinery
Xebio Holdings Co. Ltd. ,8281,japan,xtks,specialty retail
Xebra Brands Ltd. ,xbra,canada,xcnq,farming
Xebra Brands Ltd. ,xbraf,united states,ootc,farming
Xelpmoc Design & Tech Ltd. ,542367,india,xbom,None
Xencor Inc. ,xncr,united states,xnas,biotechnology
Xenetic Biosciences Inc. ,xbio,united states,xnas,biotechnology
Xenetic Biosciences Inc. Wt ,xbiow,united states,xnas,None
Xenia Hotels & Resorts Inc. ,xhr,united states,xnys,hotels
Xenon Pharmaceuticals Inc. ,xene,united states,xnas,biotechnology
Xenonics Holdings Inc. ,xnnhq,united states,ootc,defense equipment/products
Xeriant Inc. ,xeri,united states,ootc,clothing
Xeris Biopharma Holdings Inc. ,xers,united states,xnas,pharmaceuticals
Xero Ltd. ,xro,australia,xasx,software
Xero Ltd. ,xrolf,united states,ootc,software
Xero Ltd. ,0xe,germany,xfra,software
Xeros Technology Group PLC ,xsg,united kingdom,xlon,housewares
Xerox Holdings Corp. ,xrx,united states,xnas,computers/consumer electronics
Xerox Holdings Corp. ,0a6y,united kingdom,xlon,computers/consumer electronics
X-FAB Silicon Foundries SE ,xfab,france,xpar,semiconductors
X-FAB Silicon Foundries SE ,0roz,united kingdom,xlon,semiconductors
X-FAB Silicon Foundries SE ,xfabf,united states,ootc,semiconductors
Xfuels Inc. ,xfls,united states,ootc,alternative fuels
XGD Inc. A ,300130,china,xshe,computers/consumer electronics
Xi S&D Inc. ,317400,south korea,xkrx,real estate developers
Xiabuxiabu Catering Management (China) Holdings Co. Ltd. ,520,hong kong,xhkg,restaurants
Xiamen 35.com Technology Co. Ltd. ,300051,china,xshe,internet/online
Xiamen Amoytop Biotech Co. Ltd. A ,688278,china,xshg,pharmaceuticals
Xiamen Anne Corp. Ltd. ,002235,china,xshe,paper/pulp
Xiamen Bank Co. Ltd. A ,601187,china,xshg,banking
Xiamen C&D Inc. A ,600153,china,xshg,transportation services
Xiamen Changelight Co. Ltd. ,300102,china,xshe,industrial electronics
Xiamen Comfort Science & Technology Group Co. Ltd. A ,002614,china,xshe,housewares
Xiamen East Asia Machinery Industrial Co. Ltd. A ,301028,china,xshe,industrial machinery
Xiamen Faratronic Co. Ltd. A ,600563,china,xshg,industrial electronics
Xiamen Guang Pu Electronics Co. Ltd. A ,300632,china,xshe,semiconductors
Xiamen Hexing Packaging Printing Co. Ltd. ,002228,china,xshe,containers/packaging
XiaMen HongXin Electron-Tech Co. Ltd. A ,300657,china,xshe,industrial electronics
Xiamen International Airport Co. Ltd. ,600897,china,xshg,transportation services
Xiamen International Port Co. Ltd. ,3378,hong kong,xhkg,water transport/shipping
Xiamen Intretech Inc. A ,002925,china,xshe,industrial electronics
Xiamen ITG Group Corp. Ltd. ,600755,china,xshg,wholesalers
Xiamen Jiarong Technology Co. Ltd. A ,301148,china,xshe,industrial machinery
Xiamen Jihong Technology Ltd. A ,002803,china,xshe,containers/packaging
Xiamen King Long Motor Group Co. Ltd. ,600686,china,xshg,commercial vehicles
Xiamen Kingdomway Group Co. ,002626,china,xshe,food products
Xiamen Leading Optics Co. Ltd. A ,605118,china,xshg,precision products
Xiamen Meiya Pico Information Co. Ltd. ,300188,china,xshe,software
Xiamen Port Development Co. Ltd. A ,000905,china,xshe,water transport/shipping
Xiamen R&T Plumbing Technology Co. Ltd. A ,002790,china,xshe,building materials/products
Xiamen Solex High Tech Industries Co. Ltd. A ,603992,china,xshg,building materials/products
Xiamen Sunrise Group Co. Ltd. A ,002593,china,xshe,motor vehicle parts
Xiamen Tungsten Co. Ltd. A ,600549,china,xshg,non-ferrous metals
Xiamen Voke Mold & Plastic Engineering Co. Ltd. ,301196,china,xshe,industrial machinery
Xiamen Wanli Stone Stock Co. Ltd. ,002785,china,xshe,building materials/products
Xiamen XGMA Machinery Co. Ltd. ,600815,china,xshg,mobile machinery
Xiamen Xiangyu Co. Ltd. A ,600057,china,xshg,transportation services
Xiamen Xinde Co. Ltd. A ,000701,china,xshe,industrial electronics
Xiamen Yanjan New Material Co. Ltd. A ,300658,china,xshe,chemicals
Xiamen Zhongchuang Environmental Technology Co. Ltd. A ,300056,china,xshe,industrial machinery
