name,symbol,country,exchange,sector
YOC AG ,0nn5,united kingdom,xlon,advertising/marketing/public relations
YOC AG ,yoc,united states,xetr,advertising/marketing/public relations
Yodogawa Steel Works Ltd. ,5451,japan,xtks,iron/steel
Yogi Infra Projects Ltd. ,522209,india,xbom,construction
Yojee Ltd. ,yoj,australia,xasx,software
Yokogawa Bridge Holdings Corp. ,5911,japan,xtks,construction
Yokogawa Electric Corp. ,6841,japan,xtks,precision products
Yokogawa Electric Corp. ,yokef,united states,ootc,precision products
Yokogawa Electric Corp. ADR ,yokey,united states,ootc,precision products
Yokohama Rubber Co. Ltd. ,5101,japan,xtks,tires
Yokohama Rubber Co. Ltd. ,yoruf,united states,ootc,tires
Yokohama Rubber Co. Ltd. ADR ,yoruy,united states,ootc,tires
Yokorei Co. Ltd. ,2874,japan,xtks,food products
Yokowo Co. Ltd. ,6800,japan,xtks,diversified holding companies
Yoma Strategic Holdings Ltd. ,z59,singapore,xses,real estate developers
Yomeishu Seizo Co. Ltd. ,2540,japan,xtks,alcoholic beverages/drinks
Yondenko Corp. ,1939,japan,xtks,construction
Yondoshi Holdings Inc. ,8008,japan,xtks,clothing retail
Yonex Co. Ltd. ,7906,japan,xtks,sports goods
Yong Bai Chao New Retail Corp. ,ybcn,united states,ootc,motor vehicle parts
Yong Pyong Resort Corp. ,070960,south korea,xkrx,hotels
Yong Shun Chemical Co. Ltd. ,4711,taiwan,roco,chemicals
Yong Tai Bhd ,7066,malaysia,xkls,clothing
Yonga Mobilya Sanayi ve Ticaret A.S. ,yonga.e,turkey,xist,furniture
Yongan Futures Co. Ltd. A ,600927,china,xshg,securities
Yonggu Group Inc. ,5546,taiwan,xtai,building materials/products
Yonghe Medical Group Co. Ltd. ,2279,hong kong,xhkg,healthcare provision
Yonghui Superstores Co. Ltd. ,601933,china,xshg,food retail
Yongnam Holdings Ltd. ,axb,singapore,xses,construction
Yongsheng Advanced Materials Co. Ltd. ,3608,hong kong,xhkg,clothing
Yongtaiyun Chemical Logistics Co. Ltd. A ,001228,china,xshe,transportation services
Yongxing Special Materials Technology Co. Ltd. A ,002756,china,xshe,iron/steel
Yongyue Science & Technology Co. Ltd. A ,603879,china,xshg,chemicals
Yonker Environmental Protection Co. Ltd. A ,300187,china,xshe,environment/waste management
Yonwoo Co. Ltd. ,115960,south korea,xkrx,containers/packaging
Yonyou Network Technology Co. Ltd. A ,600588,china,xshg,software
Yonyu Plastics Co. Ltd. ,1323,taiwan,xtai,containers/packaging
Yoong Onn Corp. Bhd ,5159,malaysia,xkls,housewares
Yooshin Engineering Corp. ,054930,south korea,xkrx,construction
Yoosung Enterprise Co. Ltd. ,002920,south korea,xkrx,motor vehicle parts
Yoosung T&S Co. Ltd. ,024800,south korea,xkrx,transportation services
Y-Optics Manufacture Co. Ltd. ,066430,south korea,xkrx,medical equipment/supplies
Yorbeau Resources Inc. Cl A ,yrb,canada,xtse,gold
Yorhe Fluid Intelligent Control Co. Ltd. ,002795,china,xshe,industrial products
York Arcade Holdings PLC ,york.n0000,sri lanka,xcol,real estate developers
York Exports Ltd. ,530675,india,xbom,clothing
York Harbour Metals Inc. ,york,canada,xtsx,mining support services
York Harbour Metals Inc. ,yorkf,united states,ootc,mining support services
York Timber Holdings Ltd. ,yrk,south africa,xjse,forestry & wood products
York Water Co. ,yorw,united states,xnas,water utilities
Yorkton Equity Group Inc. ,yeg,canada,xtsx,shell companies
Yorozu Corp. ,7294,japan,xtks,motor vehicle parts
Yoshi Innovation S.A. ,yos,poland,xwar,computer services
Yoshimura Food Holdings KK ,2884,japan,xtks,food products
Yoshinoya Holdings Co. Ltd. ,9861,japan,xtks,restaurants
Yoshitsu Co. Ltd. ADR ,tklf,united states,xnas,specialty retail
Yossix Holdings Co. Ltd. ,3221,japan,xtks,restaurants
Yotai Refractories Co. Ltd. ,5357,japan,xtks,industrial products
Yotrio Group Co. Ltd. ,002489,china,xshe,furniture
Yotta Acquisition Corp. ,yotau,united states,xnas,shell companies
Youcare Pharmaceutical Group Co. Ltd. A ,688658,china,xshg,pharmaceuticals
Youdao Inc. ADR ,dao,united states,xnys,software
YouGov PLC ,you,united kingdom,xlon,advertising/marketing/public relations
Youil Energy Technology Co. Ltd. ,340930,south korea,xkrx,industrial electronics
Youji Corp. ,2152,japan,xjas,consumer services
Youl Chon Chemical Co. Ltd. ,008730,south korea,xkrx,containers/packaging
Young & Co.'s Brewery PLC A ,ynga,united kingdom,xlon,restaurants
Young & Co.'s Brewery PLC N.V. ,yngn,united kingdom,xlon,restaurants
Young Fast Optoelectronics Co. Ltd. ,3622,taiwan,xtai,industrial electronics
Young Hwa Tech Co. Ltd. ,265560,south korea,xkrx,motor vehicle parts
Young Optics Inc. ,3504,taiwan,xtai,precision products
Young Poong Corp. ,000670,south korea,xkrx,non-ferrous metals
Young Poong Paper Manufacturing Co. Ltd. ,006740,south korea,xkrx,paper/pulp
Young Poong Precision Corp. ,036560,south korea,xkrx,industrial machinery
Young Shine Electric Co. Ltd. ,2249,taiwan,roco,motor vehicle parts
Youngbo Chemical Co. Ltd. ,014440,south korea,xkrx,chemicals
Youngevity International Inc. ,ygyi,united states,ootc,mixed retailing
Youngevity International Inc. 9.75% Cum. Redeem. Pfd. Series D ,ygyip,united states,ootc,mixed retailing
Younglimwon Soft Lab Co. Ltd. ,060850,south korea,xkrx,software
Youngone Corp. ,111770,south korea,xkrx,clothing
Youngone Holdings Co. Ltd. ,009970,south korea,xkrx,clothing
Youngor Group Co. Ltd. A ,600177,china,xshg,clothing
Youngsin Metal Industrial Co. Ltd. ,007530,south korea,xkrx,industrial products
Youngtek Electronics Corp. ,6261,taiwan,roco,semiconductors
Youngtimers AG ,ytme,switzerland,xswx,closed-end funds
Youngwire Co. Ltd. ,012160,south korea,xkrx,iron/steel
Youngwoo DSP Co. Ltd. ,143540,south korea,xkrx,precision products
Youngy Co. Ltd. A ,002192,china,xshe,building materials/products
Youngy Health Co. Ltd. A ,300247,china,xshe,building materials/products
Youon Technology Co. Ltd. A ,603776,china,xshg,emerging technologies
Your Family Entertainment AG ,rtv,united states,xetr,motion picture/sound recording
Yourgene Health PLC ,ygen,united kingdom,xlon,medical equipment/supplies
YourWay Cannabis Brands Inc. ,yourf,united states,ootc,pharmaceuticals
YourWay Cannabis Brands Inc. ,your,canada,xcnq,pharmaceuticals
Yousuf Weaving Mills Ltd. ,youw,pakistan,xkar,clothing
YouYou Foods Co. Ltd. A ,603697,china,xshg,food products
Youzu Interactive Co. Ltd. A ,002174,china,xshe,toys & games
Yowie Group Ltd. ,ywgrf,united states,ootc,food products
Yowie Group Ltd. ,yow,australia,xasx,food products
YPB Group Ltd. ,ypb,australia,xasx,precision products
YPF S.A. ADR ,ypf,united states,xnys,major oil & gas
YPF S.A. Cl D ,ypfd,argentina,xbue,major oil & gas
Ypsomed Holding AG ,0qlq,united kingdom,xlon,medical equipment/supplies
Ypsomed Holding AG ,ypsn,switzerland,xswx,medical equipment/supplies
YRGLM Inc. ,3690,japan,xtks,software
Y-S Electronic Co. Ltd. ,6418,taiwan,roco,industrial electronics
Y's table Corp. ,2798,japan,xtks,restaurants
YTL Corp. Bhd ,1773,japan,xtks,multiutilities
YTL Corp. Bhd ,4677,malaysia,xkls,multiutilities
YTL Hospitality REIT ,5109,malaysia,xkls,hotel/lodging reits
YTL Power International Bhd ,6742,malaysia,xkls,multiutilities
YTN Co. Ltd. ,040300,south korea,xkrx,broadcasting
YTO Express (International) Holdings Ltd. ,6123,hong kong,xhkg,air freight
YTO Express Group Co. Ltd. A ,600233,china,xshg,transportation services
Ytrade Group AB ,yaytrd,sweden,xsto,clothing retail
Yu Group PLC ,yu,united kingdom,xlon,multiutilities
Yu Tak International Holdings Ltd. ,8048,hong kong,xhkg,computer services
Yuan Cheng Cable Co. Ltd. A ,002692,china,xshe,industrial electronics
Yuan Heng Gas Holdings Ltd. ,332,hong kong,xhkg,securities
Yuan High-Tech Development Co. Ltd. ,5474,taiwan,roco,industrial electronics
Yuan Jen Enterprises Co. Ltd. ,1725,taiwan,xtai,chemicals
Yuan Longping High-Tech Agriculture Co. Ltd. ,000998,china,xshe,farming
Yuancheng Environment Co. Ltd. A ,603388,china,xshg,general services
Yuanda China Holdings Ltd. ,2789,hong kong,xhkg,building materials/products
Yuanli Chemical Group Co. Ltd. A ,603217,china,xshg,chemicals
YuanShengTai Dairy Farm Ltd. ,1431,hong kong,xhkg,farming
Yuanta 8 Special Purpose Acquisition Co. Ltd. ,367480,south korea,xkrx,shell companies
Yuanta Financial Holdings Co. Ltd. ,2885,taiwan,xtai,securities
Yuanta Securities Korea Co. Ltd. ,003470,south korea,xkrx,investment advisors
Yuanta Securities Korea Co. Ltd. Pfd. Series 1 ,003475,south korea,xkrx,investment advisors
Yuasa Battery (Thailand) PCL ,yuasa,thailand,xbkk,industrial electronics
Yuasa Funashoku Co. Ltd. ,8006,japan,xtks,food retail
Yuasa Trading Co. Ltd. ,8074,japan,xtks,wholesalers
Yubo International Biotech Ltd. ,ybgj,united states,ootc,medical equipment/supplies
Yue Da International Holdings Ltd. ,629,hong kong,xhkg,general mining
Yue Kan Holdings Ltd. ,2110,hong kong,xhkg,construction
Yue Yuen Industrial (Holdings) Ltd. ,yueif,united states,ootc,footwear
Yue Yuen Industrial (Holdings) Ltd. ,551,hong kong,xhkg,footwear
Yue Yuen Industrial (Holdings) Ltd. ADR ,yueiy,united states,ootc,footwear
Yuen Chang Stainless Steel Co. Ltd. ,2069,taiwan,xtai,iron/steel
Yuen Foong Yu Consumer Products Co. Ltd. ,6790,taiwan,xtai,nondurable household products
Yues International Holdings Group Ltd. ,1529,hong kong,xhkg,transportation services
Yuexiu Property Co. Ltd. ,123,hong kong,xhkg,real estate developers
Yuexiu Property Co. Ltd. ,guza,germany,xfra,real estate developers
Yuexiu Real Estate Investment Trust ,405,hong kong,xhkg,diversified reits
Yuexiu Services Group Ltd. ,6626,hong kong,xhkg,real estate developers
Yuexiu Transport Infrastructure Ltd. ,1052,hong kong,xhkg,transportation services
Yueyang Forest & Paper Co. Ltd. ,600963,china,xshg,paper/pulp
Yueyang Xingchang Petro-Chemical Co. Ltd. ,000819,china,xshe,chemicals
Yufo Electronics Co. Ltd. ,6194,taiwan,roco,semiconductors
Yashraj Containeurs Ltd. ,530063,india,xbom,containers/packaging
Yaskawa Electric Corp. ,yaskf,united states,ootc,precision products
Yaskawa Electric Corp. ,6506,japan,xtks,precision products
Yaskawa Electric Corp. ADR ,yasky,united states,ootc,precision products
Yasuda Logistics Corp. ,9324,japan,xtks,transportation services
Yasuhara Chemical Co. Ltd. ,4957,japan,xtks,chemicals
Yasunaga Corp. ,7271,japan,xtks,industrial products
Yatas Yatak ve Yorgan Sanayi ve Ticaret A.S. ,yatas.e,turkey,xist,furniture
Yatra Online Inc. ,ytra,united states,xnas,tourism
Yatsen Holding Ltd. ADR ,ysg,united states,xnys,personal care products/appliances
Yavin Investment S.A. ,s2055,spain,xmad,mutual & other funds
Yayla Enerji Uretim Turizm ve Insaat Ticaret A.S. ,yayla.e,turkey,xist,construction
YayYo Inc. ,yayo,united states,ootc,emerging technologies
YB Ventures Bhd ,5048,malaysia,xkls,building materials/products
Ybarvi de Inversiones S.A. ,s3076,spain,xmad,mutual & other funds
YBM Net Inc. ,057030,south korea,xkrx,consumer services
Ybox Real Estate Ltd. ,ybox,israel,xtae,real estate developers
YBS International Bhd ,0025,malaysia,xkls,industrial products
YC Inox Co. Ltd. ,2034,taiwan,xtai,iron/steel
YCIH Green High-Performance Concrete Co. Ltd. ,1847,hong kong,xhkg,building materials/products
YD More Investments Ltd. ,mrin,israel,xtae,investment advisors
YDUQS Participacoes S.A. ADR ,yduqy,united states,ootc,consumer services
YDUQS Participacoes S/A Ord ,yduq3,brazil,bvmf,consumer services
YE Digital Corp. ,2354,japan,xtks,software
Ye Xing Group Holdings Ltd. ,1941,hong kong,xhkg,real estate developers
Yeah1 Group Corp. ,yeg,vietnam,xstc,broadcasting
Yeahka Ltd. ,9923,hong kong,xhkg,consumer finance
Yeakin Polymer Ltd. ,ypl,bangladesh,xdha,containers/packaging
